Id,breadwinner_ns__TranDate__c
a9aDo000000DOXnIAO,2021-04-01
a9aDo000000DOXoIAO,2022-03-01
a9aDo000000DOXvIAO,2022-12-01
a9aDo000000DOY5IAO,2023-01-01
a9aDo000000DOY1IAO,2022-11-01
a9aDo000000DOXzIAO,2022-04-01
a9aDo000000DOXyIAO,2021-08-01
a9aDo000000DOXxIAO,2022-12-01
a9aDo000000DOYjIAO,2022-12-01
a9aDo000000DOYcIAO,2022-12-01
a9aDo000000DOYnIAO,2022-04-01
a9aDo000000DOYdIAO,2022-12-01
a9aDo000000DOYeIAO,2022-01-01
a9aDo000000DOYfIAO,2022-02-01
a9aDo000000DOYgIAO,2022-12-01
a9aDo000000DOZ0IAO,2021-10-01
a9aDo000000DOZ2IAO,2023-01-01
a9aDo000000DOYrIAO,2021-03-01
a9aDo000000DOYvIAO,2022-03-01
a9aDo000000DOYxIAO,2021-10-01
a9aDo000000DOZgIAO,2021-03-01
a9aDo000000DOZiIAO,2021-07-01
a9aDo000000DOZbIAO,2021-11-01
a9aDo000000DOZnIAO,2022-04-01
a9aDo000000DOZaIAO,2021-11-01
a9aDo000000DOa2IAG,2021-05-01
a9aDo000000DOZzIAO,2022-05-01
a9aDo000000DOZqIAO,2021-07-01
a9aDo000000DOZxIAO,2021-06-01
a9aDo000000DOZyIAO,2021-07-01
a9aDo000000DOZuIAO,2021-11-01
a9aDo000000DOa0IAG,2022-01-01
a9aDo000000DOa1IAG,2021-08-01
a9aDo000000DOb3IAG,2021-06-01
a9aDo000000DOb4IAG,2022-02-01
a9aDo000000DOb2IAG,2022-09-01
a9aDo000000DObGIAW,2021-07-01
a9aDo000000DObQIAW,2021-06-01
a9aDo000000DOY3IAO,2022-10-01
a9aDo000000DOY4IAO,2021-07-01
a9aDo000000DOY8IAO,2021-07-01
a9aDo000000DOYJIA4,2021-07-01
a9aDo000000DOYFIA4,2021-07-01
a9aDo000000DOZsIAO,2022-09-01
a9aDo000000DOaRIAW,2021-04-01
a9aDo000000DOYAIA4,2021-09-01
a9aDo000000DOYOIA4,2023-01-01
a9aDo000000DOZ7IAO,2021-10-01
a9aDo000000DOZGIA4,2022-10-01
a9aDo000000DOZDIA4,2022-03-01
a9aDo000000DOZLIA4,2022-02-01
a9aDo000000DOZUIA4,2021-09-01
a9aDo000000DOYpIAO,2021-04-01
