Id,QLE_Button__c,SBQQ__SortOrder__c,Provisioning_Team__c,Fulfillment_Team__c,Provisioning_Queue__c,Generate_Fulfillment_Case__c,ProductCode,Bundle_Wrapper__c,Fulfillment_Family__c,Family,Revenue_Type__c,SBQQ__SubscriptionPricing__c,Name
01tDo000000UaCcIAK,1x,,,Marketing Solutions,false,true,MSWEB,false,,Marketing Solutions,1X,,Accelerate - Sponsored Webinar
01tDo000000UaCXIA0,1x,,,Research,false,true,SPONSOR,false,,Marketing Solutions,1X,,Accelerate - Research Sponsorship
01tDo000000Ua7NIAS,,,,Marketing Solutions,false,true,A411,false,,Marketing Solutions,1X,,Accelerate 4-1-1
01tDo000000UZmkIAG,1x,,,Marketing Solutions,false,true,MSMICRO,false,,Marketing Solutions,1X,,Accelerate - Microsite Sponsorship  - Site
01tDo000000UZrgIAG,1x,,,Research,false,true,SMRE,false,,Marketing Solutions,1X,,SmartMarket Publication
01tDo000000UZrbIAG,1x,,,Outreach,false,true,LQPBS,false,,Marketing Solutions,1X,,Accelerate - Outreach - 1X
01tDo000000UZxAIAW,1x,,,Research,false,true,MSSMDIG,false,,Marketing Solutions,1X,,Accelerate - SmartMarket Digest
01tDo000000UZmDIAW,1x,,,Marketing Solutions,false,true,10Q,false,,Marketing Solutions,1X,,10Q
01tDo000000UZdKIAW,1x,,,Marketing Solutions,false,true,MSPODCAST,false,,Marketing Solutions,1X,,Accelerate - Smarter Building Podcast Series
01tDo000000UZikIAG,1x,,,Research,false,true,CRPBS,false,,Marketing Solutions,1X,Fixed Price,Accelerate - Custom Research Project - 1X
01tDo000000UaHPIA0,D/A,,,Research,false,true,CRP,false,,Marketing Solutions,Subscription,Fixed Price,Accelerate - Custom Research Project
01tDo000000UZiHIAW,1x,,,Marketing Solutions,false,true,ITBAD,false,,Marketing Solutions,1X,,Accelerate ITB Email Ad
01tDo000000UaMeIAK,1x,,,Marketing Solutions,false,true,EVTSPON,false,,Marketing Solutions,1X,,Accelerate - Event Sponsorship
01tDo000000UZciIAG,1x,,,Marketing Solutions,false,true,MSCUSCON,false,,Marketing Solutions,1X,,Accelerate - Custom Content
01tDo000000UZHEIA4,DCC,,,,false,false,ODLRP,false,,Sweets,Subscription,Fixed Price,BSD Speclink
01tDo000000UaNCIA0,1x,,Sweets,,true,true,FPRODO,false,,Sweets,1X,,Sweets Featured Product Listing - 1X
01tDo000000Ua1xIAC,1x,,Sweets,,true,true,ENEWSO,false,,Sweets,1X,,Sweets E-Newsletter - 1X
01tDo000000UZT0IAO,DCC,,Sweets,,true,true,FPRODF,false,,Sweets,Subscription,Fixed Price,Sweets Featured Product Listing
01tDo000000UZrnIAG,1x,,,Sweets,false,true,BIMCRF,false,,Sweets,1X,,Accelerate - BIM Creation
01tDo000000UZw9IAG,1x,,,Sweets,false,true,SPECWRF,false,,Sweets,1X,,Sweets Spec Writing Services
01tDo000000UZDkIAO,DCC,,Sweets,,true,true,ENEWSF,false,,Sweets,Subscription,Fixed Price,Sweets E-Newsletter
01tDo000000vhVYIAY,,,,,false,false,DR-D055,false,,Dodge Report,Subscription,Fixed Price,DR-D055-E
01tDo000000vhVTIAY,,,,,false,false,DR-C095,false,,Dodge Report,Subscription,Fixed Price,DR-C095-E
01tDo000000vhVOIAY,,,,,false,false,DR-C094,false,,Dodge Report,Subscription,Fixed Price,DR-C094-E
01tDo000000vhVdIAI,,,,,false,false,DR-D056,false,,Dodge Report,Subscription,Fixed Price,DR-D056-E
01tDo000000UaHWIA0,,,,,false,false,DCLIC,false,,Legacy Product,Renewal Only,Fixed Price,User Licenses
01tDo000000UaSkIAK,1x,,AF,,true,true,CMFSEBS,false,,Econ Forecasting,1X,,Construction Market Forecasting Service - 1X
01tDo000000UZdRIAW,D/A,,AF,,true,true,CMFSE,false,,Econ Forecasting,Subscription,Fixed Price,Construction Market Forecasting Service
01tDo000000UaDXIA0,1x,,AF,,true,true,CCFSBS,false,,Econ Forecasting,1X,,Canadian Construction Forecast - 1X
01tDo000000UZKoIAO,D/A,,AF,,true,true,CCFS,false,,Econ Forecasting,Subscription,Fixed Price,Canadian Construction Forecast
01tDo000000UaLeIAK,1x,,,,false,true,METSTX-B,true,,Data & Analytics,1X,,MetroInsight - 1X - Bundle
01tDo000000UaRqIAK,D/A,,Analytics,,true,true,PIPE,false,,Data & Analytics,Subscription,Fixed Price,Supply Track
01tDo000000UaMXIA0,1x,,AF,,true,true,CHR1,false,,Data & Analytics,1X,,Construction Housing Review - 1X
01tDo000000UaJfIAK,1x,,,,false,false,PRODAN,false,,Data & Analytics,1X,,Custom Statistical Analytics
01tDo000000UaK8IAK,1x,,,,false,false,FCST,false,,Data & Analytics,1X,,Planning & Budgeting Construction Forecast
01tDo000000UaNHIA0,1x,,,,false,false,LSIC,false,,Data & Analytics,1X,,Res Prod Demand Reports County
01tDo000000UaTJIA0,1x,,,,false,false,LSI1XUS,false,,Data & Analytics,1X,,Res Prod Demand Reports US 1X
01tDo000000UaTLIA0,1x,,,,false,false,DATALIC,false,,Data & Analytics,1X,,Custom Dodge data feed
01tDo000000UaTPIA0,1x,,,,false,false,QSHFBS,false,,Data & Analytics,1X,,Quarterly State Housing Forecast 1x
01tDo000000VBcdIAG,D/A,,,,false,false,SPLYTRK-B,true,,Data & Analytics,Subscription,Fixed Price,Real Estate Analyzer Bundle
01tDo000000UZuNIAW,1x,,,,false,true,BSDE-BS-B,true,,Data & Analytics,1X,,Building Stock Database - 1X Bundle
01tDo000000UZyiIAG,1x,,,,true,false,LSI1XS,false,,Data & Analytics,1X,,Res Prod Demand Reports State 1X
01tDo000000UZdNIAW,1x,,,,false,false,DATALIC1X,false,,Data & Analytics,1X,,Custom Dodge data feed 1X
01tDo000000UZotIAG,1x,,,,false,false,LSI9R,false,,Data & Analytics,1X,,Res Prod Demand Reports 9 Regions
01tDo000000UZdVIAW,1x,,,,false,false,REFS,false,,Data & Analytics,1X,,Residential Simulations
01tDo000000UZpQIAW,1x,,,,false,false,LSIS,false,,Data & Analytics,1X,,Res Prod Demand Reports State
01tDo000000UZksIAG,1x,,,,false,true,MKTSHBS-B,true,,Data & Analytics,1X,Fixed Price,MarketShare - 1X Bundle
01tDo000000UZvyIAG,1x,,,,false,false,PRODAN1X,false,,Data & Analytics,1X,,Custom Statistical Analytics 1X
01tDo000000UZglIAG,,,,,false,false,PUA1X,false,,Data & Analytics,1X,,Product Usage Analysis 1X
01tDo000000UZscIAG,1x,,,,false,false,FCST1X,false,,Data & Analytics,1X,,Planning & Budgeting Construction Forecast 1X
01tDo000000UZsgIAG,1x,,,,false,false,NBFS,false,,Data & Analytics,1X,,Non-Building Simulations
01tDo000000Ua9FIAS,1x,,,,false,false,MACFEBS-B,true,,Data & Analytics,1X,,Market Area Forecast Database - 1X Bundle
01tDo000000Ua7CIAS,1x,,,,false,false,LSIMSA,false,,Data & Analytics,1X,,Res Prod Demand Reports MSA
01tDo000000Ua9tIAC,1x,,,,false,true,TRAKEBS-B,true,,Data & Analytics,1X,,MarketTrack - 1X - Bundle
01tDo000000UaDfIAK,1x,,,,false,false,CUSTANL,false,,Data & Analytics,1X,Fixed Price,Custom Analytics
01tDo000000UaCbIAK,1x,,,,false,false,QSHF,false,,Data & Analytics,1X,,Quarterly State Housing Forecast
01tDo000000Ua0OIAS,1x,,,,false,true,DPPE-BS-B,true,,Data & Analytics,1X,,Market Demand Systems - 1X Bundle
01tDo000000Ua1BIAS,1x,,,,true,false,LSI1XC,false,,Data & Analytics,1X,,Res Prod Demand Reports County 1X
01tDo000000Ua4IIAS,,,,,false,false,PUA,false,,Data & Analytics,1X,,Product Usage Analysis
01tDo000000Ua2GIAS,,,BI,,true,true,SPSHBS,false,,Data & Analytics,1X,Fixed Price,Dodge SpecShare - 1X
01tDo000000UaHsIAK,1x,,,,true,false,LSI1XMSA,false,,Data & Analytics,1X,,Res Prod Demand Reports MSA 1X
01tDo000000UZRXIA4,D/A,,,,false,false,TRAKE-B,true,,Data & Analytics,ASV,Fixed Price,MarketTrack - Bundle
01tDo000000UZRpIAO,D/A,,,,false,false,METSTE-B,true,,Data & Analytics,Subscription,Fixed Price,MetroInsight - Bundle
01tDo000000UZVaIAO,D/A,,,,false,false,MACFDE-B,true,,Data & Analytics,Subscription,Fixed Price,Market Area Forecast Database - Bundle
01tDo000000UZWSIA4,D/A,,,,false,false,LOOKE-B,true,,Data & Analytics,Subscription,Fixed Price,MarketLook - Bundle
01tDo000000UZXCIA4,D/A,,,,false,false,DCP-US,false,,Data & Analytics,Subscription,Fixed Price,DCPBE - US
01tDo000000UZXEIA4,D/A,,,,false,true,DPPE-B,true,,Data & Analytics,Subscription,Fixed Price,Market Demand Systems - Bundle
01tDo000000UZb5IAG,1x,,,,false,false,LOOKEBS-B,true,,Data & Analytics,1X,,MarketLook - 1X - Bundle
01tDo000000UZSTIA4,,,Analytics,,true,true,CASE,false,,Data & Analytics,Subscription,Fixed Price,Construction Analysis System
01tDo000000UZSmIAO,D/A,,Analytics,,true,true,NRFS,false,,Data & Analytics,Subscription,Fixed Price,Non-Residential Building Simulations
01tDo000000UZZIIA4,1x,,Analytics,,true,true,MKTSZ-CS,false,,Data & Analytics,1X,,Custom Set-Up Fee 1x
01tDo000000UZZcIAO,1x,,,,false,true,CASE-BS-B,true,,Data & Analytics,1X,,Construction Analysis System - 1X Bundle
01tDo000000UZYHIA4,D/A,,Analytics,,true,true,LSI-C,false,,Data & Analytics,Subscription,Fixed Price,Residential Product Demand - Custom
01t3i000000ekR4AAI,,,Analytics,,true,true,MACFDE,false,,Data & Analytics,ASV,Fixed Price,Market Area Forecast Database
01t3i000000ekR5AAI,,,,Analytics,true,true,MACFEBS,false,,Data & Analytics,1X,,Market Area Forecast Database - 1X
01t3i000000ekTnAAI,,,,,false,false,DPPE-BS,false,,Data & Analytics,1X,,Market Demand Systems - 1X
01t3i000000ekTsAAI,,,,,false,false,DPPE,false,,Data & Analytics,ASV,Fixed Price,Market Demand Systems
01t3i000000ekURAAY,1x,,Analytics,,true,true,PIPEBS,false,,Data & Analytics,1X,,Supply Track - 1X
01t3i000000eknCAAQ,,,Analytics,Analytics,true,true,BSDE-BS,false,,Data & Analytics,1X,,Building Stock Database - 1X
01t3i000000eknLAAQ,,,Analytics,Analytics,true,true,CASE-BS,false,,Data & Analytics,1X,,Construction Analysis System - 1X
01t3i000000eknfAAA,1x,,Analytics,,true,true,PLCEBS,false,,Data & Analytics,1X,,Project Life Cycle - 1X
01t3i000000eknpAAA,,,AF,,false,true,TRAKE,false,,Data & Analytics,ASV,Fixed Price,MarketTrack
01t3i000000eknuAAA,,,,AF,false,true,TRAKEBS,false,,Data & Analytics,1X,,MarketTrack - 1X
01t3i000000el4fAAA,,,AF,,true,true,LOOKEBS,false,,Data & Analytics,1X,,MarketLook - 1X
01t3i000000el4kAAA,,,,,false,false,LSI-BS,false,,Data & Analytics,1X,,Residential Statistics - 1X
01t3i000000el4tAAA,D/A,,,,false,false,LSI,false,,Data & Analytics,ASV,Fixed Price,Residential Statistics
01t3i000000el58AAA,,,AF,,true,true,METSTX,false,,Data & Analytics,1X,,MetroInsight - 1X
01t3i000000el5IAAQ,,,,,false,false,DLCPE,false,,Data & Analytics,ASV,Fixed Price,Local Construction Potentials
01tDo000000UZJHIA4,D/A,,AF,,true,true,CHR,false,,Data & Analytics,Subscription,Fixed Price,Construction Housing Review
01tDo000000UZFUIA4,D/A,,Analytics,,true,true,BSDE-C,false,,Data & Analytics,Subscription,Fixed Price,Building Stock Database - Custom
01tDo000000UZLcIAO,D/A,,Analytics,,true,true,MACFDE-C,false,,Data & Analytics,Subscription,Fixed Price,MACFD - Market Area Construction Forecast Database - Custom
01tDo000000UZPFIA4,D/A,,,,false,false,DCP-1R,false,,Data & Analytics,Subscription,Fixed Price,DCPBE - 1 Region
01tDo000000UZLkIAO,D/A,,Analytics,,true,true,CASE-C,false,,Data & Analytics,Subscription,Fixed Price,Construction Analysis System - Custom
01tDo000000UZLwIAO,D/A,,,,false,true,MKTSH-B,true,,Data & Analytics,Subscription,Fixed Price,BI - MarketShare - Bundle
01tDo000000UZPcIAO,D/A,,,,false,false,DCP-FULL,false,,Data & Analytics,Subscription,Fixed Price,DCPBE - Full
01tDo000000UZPrIAO,D/A,,Analytics,,true,true,DPPE-C,false,,Data & Analytics,Subscription,Fixed Price,Market Demand Systems - Custom
01tDo000000UZQ7IAO,D/A,,,,false,true,CASE-B,true,,Data & Analytics,Subscription,Fixed Price,Construction Analysis System - Bundle
01tDo000000UZQiIAO,D/A,,Analytics,,true,true,PLCE,false,,Data & Analytics,Subscription,Fixed Price,Project Life Cycle
01tDo000000UZDVIA4,,,AF,,true,true,LOOKE,false,,Data & Analytics,Subscription,Fixed Price,MarketLook
01tDo000000UZDWIA4,D/A,,,,false,true,BSDE-B,true,,Data & Analytics,Subscription,Fixed Price,Building Stock Database - Bundle
01tDo000000UZDcIAO,D/A,,Analytics,,true,true,PLC-C,false,,Data & Analytics,Subscription,Fixed Price,PLC - Project Lifecycle - Custom
01tDo000000UZHtIAO,,,AF,,true,true,METSTE,false,,Data & Analytics,Subscription,Fixed Price,MetroInsight
01tDo000000UZNxIAO,D/A,,AF,,true,true,DCPBE,false,,Data & Analytics,Subscription,Fixed Price,Construction Potentials Bulletin
01tDo000000UZHWIA4,1x,,,,true,false,LSI1X9R,false,,Data & Analytics,1X,,Res Prod Demand Reports 9 Regions 1X
01tDo000000UZnEIAW,1x,,,Analytics,false,true,CUSTANL1X,false,,Data & Analytics,1X,,Custom Analytics 1X
01tDo000000UZicIAG,,,Analytics,,true,true,BSDE,false,,Data & Analytics,Subscription,Fixed Price,Building Stock Database
01tDo000000UaNUIA0,Other,,,,false,false,AMNSTY,false,,Network,ASV,Fixed Price,(Debt Relief Amnesty) A/R Amnesty
01tDo000000UZPkIAO,Other,,,,false,false,DFSHOST,false,,Network,Renewal Only,Fixed Price,Docupro Hosting
01tDo000000UZVPIA4,Other,,,,false,false,DFSRESELL,false,,Network,Renewal Only,Fixed Price,Docupro Reseller Agreement
01tDo000000UZJLIA4,BB,,,Marketing Solutions,false,false,DA,false,Bluebook,Marketing Solutions,ASV,Fixed Price,Business Builder Awareness Accelerator
01tDo000000UaHKIA0,,1200,,,false,false,PROENC,false,Bluebook,Legacy Product,Renewal Only,Fixed Price,Blue Book Enhanced Package
01tDo000000UZWiIAO,BB,500,,,false,false,9C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - North Central
01tDo000000UZWnIAO,BB,400,,,false,false,9Q,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - West
01tDo000000UZX0IAO,BB,400,,,false,false,9W,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - West
01tDo000000UZXKIA4,BB,300,,,false,false,9A,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - South Central
01tDo000000UZSKIA4,BB,200,,,false,false,9K,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - Northeast
01tDo000000UZSNIA4,BB,120,,,false,false,1C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Position
01tDo000000UZSRIA4,BB,130,,,false,false,C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Alpha Listing
01tDo000000UZT2IAO,BB,2000,,,false,false,BR,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Regional BidScope DDA
01tDo000000UZU4IAO,BB,400,,,false,false,94,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - West
01tDo000000UZUdIAO,BB,1000,,,false,false,95,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - National
01tDo000000UZUeIAO,BB,1000,,,false,false,9F,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - National
01tDo000000UZYPIA4,BB,800,,,false,false,9M,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - Custom
01tDo000000UZYRIA4,BB,110,,,false,false,2C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Position
01tDo000000UZJNIA4,BB,300,,,false,false,9O,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - South Central
01tDo000000UZJkIAO,BB,100,,,false,false,8C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Position
01tDo000000UZFRIA4,BB,600,,,false,false,9J,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - Southeast
01tDo000000UZFSIA4,BB,200,,,false,false,99,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - Northeast
01tDo000000UZFgIAO,BB,1200,,,false,false,M,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Manufacturer Listing
01tDo000000UZJlIAO,BB,130,,,false,false,B,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Super Alpha
01tDo000000UZJtIAO,BB,500,,,false,false,9I,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - North Central
01tDo000000UZOqIAO,BB,400,,,false,false,9D,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - West
01tDo000000UZLMIA4,BB,90,,,false,false,PP,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Premium ProView
01tDo000000UZGaIAO,BB,800,,,false,false,96,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - Custom
01tDo000000UZLhIAO,BB,1200,,,false,false,9L,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - BidScope Plus
01tDo000000UZLiIAO,BB,1200,,,false,false,1P,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - Regional Ad
01tDo000000UZM0IAO,BB,300,,,false,false,93,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - South Central
01tDo000000UZPiIAO,BB,500,,,false,false,97,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - North Central
01tDo000000UZPnIAO,BB,1000,,,false,false,9R,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - National
01tDo000000UZMKIA4,BB,1000,,,false,false,9V,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - National
01tDo000000UZQHIA4,BB,100,,,false,false,4C,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Position
01tDo000000UZQMIA4,BB,200,,,false,false,9N,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - Northeast
01tDo000000UZNHIA4,BB,500,,,false,false,90,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - North Central
01tDo000000UZNjIAO,BB,600,,,false,false,98,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - Southeast
01tDo000000UZNkIAO,BB,800,,,false,false,9H,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Gold Zone - Custom
01tDo000000UZIHIA4,BB,200,,,false,false,92,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - Northeast
01tDo000000UZHUIA4,BB,600,,,false,false,9E,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - Southeast
01tDo000000UZHYIA4,BB,300,,,false,false,9T,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Bronze Zone - South Central
01tDo000000UZWhIAO,BB,2000,,,false,false,BP,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book - BidScope DDA
01tDo000000UZUrIAO,BB,800,,,false,false,9U,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Silver Zone - Custom
01tDo000000UZWQIA4,BB,600,,,false,false,91,false,Bluebook,Network,Subscription,Fixed Price,The Blue Book Business Builder - Platinum Zone - Southeast
01tDo000000UZHZIA4,,,,,false,false,PROVIEW,false,Horizon,Blue Book,Renewal Only,Fixed Price,Blue Book ProView
01tDo000000UZRBIA4,,,,,false,false,48700,false,Horizon,DCC Geo,Subscription,Fixed Price,"Williamsport, PA"
01tDo000000UZRCIA4,,,,,false,false,14540,false,Horizon,DCC Geo,Subscription,Fixed Price,"Bowling Green, KY"
01tDo000000UZRJIA4,,,,,false,false,13820,false,Horizon,DCC Geo,Subscription,Fixed Price,"Birmingham-Hoover, AL"
01tDo000000UZRQIA4,,,,,false,false,17860,false,Horizon,DCC Geo,Subscription,Fixed Price,"Columbia, MO"
01tDo000000UZRSIA4,,,,,false,false,GBSF,false,Horizon,DCC Geo,DCC,Fixed Price,GB & Single Family
01tDo000000UZRUIA4,,,,,false,false,KYSTA1,false,Horizon,DCC Geo,Subscription,Fixed Price,KY Kentucky
01tDo000000UZRWIA4,,,,,false,false,24580,false,Horizon,DCC Geo,Subscription,Fixed Price,"Green Bay, WI"
01tDo000000UZRZIA4,,,,,false,false,30340,false,Horizon,DCC Geo,Subscription,Fixed Price,"Lewiston-Auburn, ME"
01tDo000000UZRmIAO,,,,,false,false,37340,false,Horizon,DCC Geo,Subscription,Fixed Price,"Palm Bay-Melbourne-Titusville, FL"
01tDo000000UZRoIAO,,,,,false,false,21780,false,Horizon,DCC Geo,Subscription,Fixed Price,"Evansville, IN-KY"
