Id,Name,dfsle__Envelope__c,dfsle__FullName__c,dfsle__Sequence__c,dfsle__SourceId__c,dfsle__Type__c,dfsle__IsReplacement__c,dfsle__Replacement__c,dfsle__LastModified__c
a4NDo0000012RRiMAM,Q-56416-20230228-1540.pdf,a4VDo000000wrjKMAQ,Q-56416-20230228-1540.pdf,2,069Do000003S3PWIA0,ContentVersion,false,,2023-02-28T23:42:07.000+0000
a4NDo0000012RRXMA2,Q-60528-20230228-1557.pdf,a4VDo000000wrjFMAQ,Q-60528-20230228-1557.pdf,2,069Do000003S3X1IAK,ContentVersion,false,,2023-02-28T23:58:09.000+0000
a4NDo0000012RRTMA2,Q-60561-20230228-1857.pdf,a4VDo000000wrjAMAQ,Q-60561-20230228-1857.pdf,2,069Do000003S3WwIAK,ContentVersion,false,,2023-02-28T23:58:07.000+0000
a4NDo0000012RRDMA2,Q-60527-20230228-1554.pdf,a4VDo000000wrj5MAA,Q-60527-20230228-1554.pdf,2,069Do000003S3TsIAK,ContentVersion,false,,2023-02-28T23:54:43.000+0000
a4NDo0000012RR4MAM,Q-50661-20230228-1853.pdf,a4VDo000000wrj0MAA,Q-50661-20230228-1853.pdf,2,069Do000003S3TiIAK,ContentVersion,false,,2023-02-28T23:53:56.000+0000
a4NDo0000012RQuMAM,Q-60536-20230228-1550.pdf,a4VDo000000wrivMAA,Q-60536-20230228-1550.pdf,2,069Do000003S3SpIAK,ContentVersion,false,,2023-02-28T23:51:23.000+0000
a4NDo0000012RQpMAM,Q-60534-20230228-1547.pdf,a4VDo000000wrimMAA,Q-60534-20230228-1547.pdf,2,069Do000003S3RmIAK,ContentVersion,false,,2023-02-28T23:48:00.000+0000
a4NDo0000012RQlMAM,Q-60525-20230228-1847.pdf,a4VDo000000wriqMAA,Q-60525-20230228-1847.pdf,2,069Do000003S3RhIAK,ContentVersion,false,,2023-02-28T23:47:12.000+0000
a4NDo0000012RQfMAM,Q-60531-20230228-1543.pdf,a4VDo000000wrilMAA,Q-60531-20230228-1543.pdf,2,069Do000003S1x4IAC,ContentVersion,false,,2023-02-28T23:44:32.000+0000
a4NDo0000012RPUMA2,Q-60507-20230228-1842.pdf,a4VDo000000wrhaMAA,Q-60507-20230228-1842.pdf,2,069Do000003S3PgIAK,ContentVersion,false,,2023-02-28T23:42:23.000+0000
a4NDo0000012RQSMA2,Q-60517-20230228-1540.pdf,a4VDo000000wrigMAA,Q-60517-20230228-1540.pdf,2,069Do000003S3OnIAK,ContentVersion,false,,2023-02-28T23:41:00.000+0000
a4NDo0000012RQLMA2,Q-60506-20230228-1839.pdf,a4VDo000000wribMAA,Q-60506-20230228-1839.pdf,2,069Do000003S3O4IAK,ContentVersion,false,,2023-02-28T23:39:47.000+0000
a4NDo0000012RQBMA2,Q-60514-20230228-1537.pdf,a4VDo000000wriIMAQ,Q-60514-20230228-1537.pdf,2,069Do000003S3NfIAK,ContentVersion,false,,2023-02-28T23:37:10.000+0000
a4NDo0000012RQ5MAM,Q-32880-20230228-1531.pdf,a4VDo000000wriWMAQ,Q-32880-20230228-1531.pdf,2,069Do000003S3MrIAK,ContentVersion,false,,2023-02-28T23:31:55.000+0000
a4NDo0000012RQ3MAM,Q-60497-20230228-1527.pdf,a4VDo000000wriRMAQ,Q-60497-20230228-1527.pdf,2,069Do000003S3MDIA0,ContentVersion,false,,2023-02-28T23:28:05.000+0000
a4NDo0000012RPvMAM,Q-30920-20230201-1940.pdf,a4VDo000000wriMMAQ,Q-30920-20230201-1940.pdf,2,069Do000000iKItIAM,ContentVersion,false,,2023-02-02T00:41:01.000+0000
a4NDo0000012RPrMAM,Q-26609-20230228-1822.pdf,a4VDo000000wrhjMAA,Q-26609-20230228-1822.pdf,2,069Do000003S3L0IAK,ContentVersion,false,,2023-02-28T23:22:47.000+0000
a4NDo0000012RPmMAM,Q-58924-20230228-1445.pdf,a4VDo000000wriDMAQ,Q-58924-20230228-1445.pdf,2,069Do000003S1yMIAS,ContentVersion,false,,2023-02-28T22:45:50.000+0000
a4NDo0000012RPcMAM,Q-60504-20230228-1520.pdf,a4VDo000000wriHMAQ,Q-60504-20230228-1520.pdf,2,069Do000003S3KbIAK,ContentVersion,false,,2023-02-28T23:21:05.000+0000
a4NDo0000012RPXMA2,Q-35023-20230228-1518.pdf,a4VDo000000wriCMAQ,Q-35023-20230228-1518.pdf,2,069Do000003S3KRIA0,ContentVersion,false,,2023-02-28T23:19:41.000+0000
