Family,Id,CurrencyIsoCode,IsActive
DCC Geo,01tDI000000At5sYAC,USD,true
DCC Geo,01tDI000000At5tYAC,USD,true
DCC Geo,01tDI000000At5uYAC,USD,true
DCC Geo,01tDI000000At5vYAC,USD,true
DCC Geo,01tDI000000At5wYAC,USD,true
DCC Geo,01tDI000000At5xYAC,USD,true
DCC Geo,01tDI000000At5yYAC,USD,true
DCC Geo,01tDI000000At5zYAC,USD,true
DCC Geo,01tDI000000At60YAC,USD,true
DCC Geo,01tDI000000At61YAC,USD,true
DCC Geo,01tDI000000At62YAC,USD,true
DCC Geo,01tDI000000At63YAC,USD,true
DCC Geo,01tDI000000At64YAC,USD,true
DCC Geo,01tDI000000At65YAC,USD,true
DCC Geo,01tDI000000At66YAC,USD,true
DCC Geo,01tDI000000At67YAC,USD,true
DCC Geo,01tDI000000At4vYAC,USD,true
DCC Geo,01tDI000000At4wYAC,USD,true
DCC Geo,01tDI000000At4xYAC,USD,true
DCC Geo,01tDI000000At4yYAC,USD,true
DCC Geo,01tDI000000At4zYAC,USD,true
DCC Geo,01tDI000000At50YAC,USD,true
DCC Geo,01tDI000000At51YAC,USD,true
DCC Geo,01tDI000000At52YAC,USD,true
DCC Geo,01tDI000000At53YAC,USD,true
DCC Geo,01tDI000000At54YAC,USD,true
DCC Geo,01tDI000000At55YAC,USD,true
DCC Geo,01tDI000000At56YAC,USD,true
DCC Geo,01tDI000000At57YAC,USD,true
DCC Geo,01tDI000000At58YAC,USD,true
DCC Geo,01tDI000000At59YAC,USD,true
DCC Geo,01tDI000000At5AYAS,USD,true
DCC Geo,01tDI000000At5BYAS,USD,true
DCC Geo,01tDI000000At5CYAS,USD,true
DCC Geo,01tDI000000At68YAC,USD,true
DCC Geo,01tDI000000At69YAC,USD,true
DCC Geo,01tDI000000At6AYAS,USD,true
DCC Geo,01tDI000000At6BYAS,USD,true
DCC Geo,01tDI000000At6CYAS,USD,true
DCC Geo,01tDI000000At6DYAS,USD,true
DCC Geo,01tDI000000At6EYAS,USD,true
DCC Geo,01tDI000000At6FYAS,USD,true
DCC Geo,01tDI000000At6GYAS,USD,true
DCC Geo,01tDI000000At6HYAS,USD,true
DCC Geo,01tDI000000At6IYAS,USD,true
DCC Geo,01tDI000000At6JYAS,USD,true
DCC Geo,01tDI000000At6KYAS,USD,true
DCC Geo,01tDI000000At6LYAS,USD,true
DCC Geo,01tDI000000At6MYAS,USD,true
DCC Geo,01tDI000000At6NYAS,USD,true
DCC Geo,01tDI000000At6OYAS,USD,true
DCC Geo,01tDI000000At6PYAS,USD,true
DCC Geo,01tDI000000At6QYAS,USD,true
DCC Geo,01tDI000000At6RYAS,USD,true
DCC Geo,01tDI000000At5DYAS,USD,true
DCC Geo,01tDI000000At5EYAS,USD,true
DCC Geo,01tDI000000At5FYAS,USD,true
DCC Geo,01tDI000000At5GYAS,USD,true
DCC Geo,01tDI000000At5HYAS,USD,true
DCC Geo,01tDI000000At5IYAS,USD,true
DCC Geo,01tDI000000At5JYAS,USD,true
DCC Geo,01tDI000000At5KYAS,USD,true
DCC Geo,01tDI000000At5LYAS,USD,true
DCC Geo,01tDI000000At5MYAS,USD,true
DCC Geo,01tDI000000At5NYAS,USD,true
DCC Geo,01tDI000000At5OYAS,USD,true
DCC Geo,01tDI000000At5PYAS,USD,true
DCC Geo,01tDI000000At5QYAS,USD,true
DCC Geo,01tDI000000At5RYAS,USD,true
DCC Geo,01tDI000000At5SYAS,USD,true
DCC Geo,01tDI000000At5TYAS,USD,true
DCC Geo,01tDI000000At5UYAS,USD,true
DCC Geo,01tDI000000At5VYAS,USD,true
DCC Geo,01tDI000000At5WYAS,USD,true
