LastModifiedDate,SBQQ__RecordId__c,SBQQ__RedirectUrl__c,SBQQ__Stacktrace__c,SBQQ__JobDetails__c,SBQQ__JobStatus__c,Name,SBQQ__IsRead__c,SBQQ__JobId__c
2023-04-19T21:39:52.000+0000,800Do000000xIMCIA2::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074162,false,707Do00000i8vda
2023-04-19T21:39:52.000+0000,800Do000000xMy3IAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074163,false,707Do00000i8vXT
2023-04-19T21:39:52.000+0000,800Do000000xO4RIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074164,false,707Do00000i8vXT
2023-04-19T21:39:52.000+0000,800Do000000xGovIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074165,false,707Do00000i8vda
2023-04-19T21:39:52.000+0000,800Do000000xNuFIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074166,false,707Do00000i8vda
2023-04-19T21:39:52.000+0000,800Do000000xBNcIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074159,false,707Do00000i8vda
2023-04-19T21:39:45.000+0000,800Do000000xAMfIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074183,false,707Do00000i8vmV
2023-04-19T21:39:45.000+0000,800Do000000xMwBIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074184,false,707Do00000i8vmV
2023-04-19T21:39:43.000+0000,800Do000000xLATIA2::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074212,false,707Do00000i8vcK
2023-04-19T21:39:43.000+0000,800Do000000xL5NIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00062696,false,707Do00000i8vcK
2023-04-19T21:39:43.000+0000,800Do000000xF5xIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00062695,false,707Do00000i8vcK
2023-04-19T21:39:43.000+0000,800Do000000xNPbIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074213,false,707Do00000i8vcK
2023-04-19T21:39:41.000+0000,800Do000000xJkPIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074196,false,707Do00000i8uve
2023-04-19T21:39:41.000+0000,800Do000000xNkYIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00026617,false,707Do00000i8vnn
2023-04-19T21:39:41.000+0000,800Do000000xCByIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074195,false,707Do00000i8uve
2023-04-19T21:39:41.000+0000,800Do000000x9IcIAI::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074193,false,707Do00000i8uve
2023-04-19T21:39:41.000+0000,800Do000000xL6tIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074194,false,707Do00000i8uve
2023-04-19T21:39:41.000+0000,800Do000000xNUtIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00026347,false,707Do00000i8vnn
2023-04-19T21:39:36.000+0000,800Do000000xIkPIAU::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00074221,false,707Do00000i8uKI
2023-04-19T21:39:36.000+0000,800Do000000xGw1IAE::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00074220,false,707Do00000i8uKI
2023-04-19T21:39:36.000+0000,800Do000000xOCiIAM::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00074219,false,707Do00000i8uKI
2023-04-19T21:39:36.000+0000,800Do000000xDzkIAE::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00074218,false,707Do00000i8uKI
2023-04-19T21:39:34.000+0000,800Do000000xLxoIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074119,false,707Do00000i8vlc
2023-04-19T21:39:34.000+0000,800Do000000xE17IAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074091,false,707Do00000i8taK
2023-04-19T21:39:34.000+0000,800Do000000xKAgIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074092,false,707Do00000i8taK
2023-04-19T21:39:34.000+0000,800Do000000xAJsIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074116,false,707Do00000i8vlc
2023-04-19T21:39:34.000+0000,800Do000000xIebIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074117,false,707Do00000i8vlc
2023-04-19T21:39:34.000+0000,800Do000000xE9QIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074118,false,707Do00000i8vlc
2023-04-19T21:39:29.000+0000,800Do000000xMWBIA2::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074084,false,707Do00000i8vCK
2023-04-19T21:39:29.000+0000,800Do000000xKizIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074083,false,707Do00000i8vCK
2023-04-19T21:39:13.000+0000,800Do000000xM1rIAE::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002SgPZ] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00062733,false,707Do00000i8sjn
2023-04-19T21:39:13.000+0000,800Do000000xLesIAE::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002SgPZ] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00062732,false,707Do00000i8sjn
2023-04-19T21:39:13.000+0000,800Do000000xC9wIAE::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002SgPZ] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00051475,false,707Do00000i8sjn
2023-04-19T21:39:13.000+0000,800Do000000xPGKIA2::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002SgPZ] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00051476,false,707Do00000i8sjn
2023-04-19T21:39:09.000+0000,800Do000000xJS0IAM::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000003BVFk] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00074070,false,707Do00000i8vc3
2023-04-19T21:39:09.000+0000,800Do000000xHwSIAU::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000003BVFk] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00074069,false,707Do00000i8vc3
2023-04-19T21:39:05.000+0000,800Do000000xHNdIAM::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00074038,false,707Do00000i8uMh
2023-04-19T21:39:05.000+0000,800Do000000xHGOIA2::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00038956,false,707Do00000i8uMh
2023-04-19T21:39:05.000+0000,800Do000000xEBhIAM::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00074043,false,707Do00000i8uMh
