Id,SBQQ__Product__c,SBQQ__Product__r.Name,Product_Line__c,SBQQ__Group__c,SBQQ__Group__r.Name
a6CDo0000012LruMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LrvMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LrwMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LrxMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LryMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LrzMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Ls0MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Ls1MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Ls2MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Ls4MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Ls5MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsBMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsCMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsDMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsEMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsFMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsOMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsVMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsWMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsXMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsiMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LskMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LslMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
