Id,SBQQ__TargetCustomerAmount__c
a6GDo0000000k68MAA,2136.59
a6GDo0000000k50MAA,17841.6
a6GDo0000000k3xMAA,3192
a6GDo0000000k2pMAA,20000
a6GDo0000000k2kMAA,1836
a6GDo0000000k2BMAQ,5040
a6GDo0000000k1DMAQ,2938
a6GDo0000000k0yMAA,23497
a6GDo0000000k0eMAA,3093
a6GDo0000000k0KMAQ,6600
a6GDo0000000jydMAA,1740
a6GDo0000000jxBMAQ,1500
a6GDo0000000jwSMAQ,9565
a6GDo0000000jwIMAQ,1740
a6GDo0000000juWMAQ,1880
a6GDo0000000jl4MAA,2220
a6GDo0000000jkVMAQ,2400
a6GDo0000000jhWMAQ,10968
a6GDo0000000jdKMAQ,5243
a6GDo0000000jdAMAQ,3600
a6GDo0000000jaBMAQ,4840.75
a6GDo0000000ja1MAA,6275
a6GDo0000000jZmMAI,4392
a6GDo0000000jWsMAI,1500
a6GDo0000000jWnMAI,1500
a6GDo0000000jRKMAY,1400
a6GDo0000000jQ2MAI,1926
a6GDo0000000iyJMAQ,10389.36
a6GDo0000000iuqMAA,137564
a6GDo0000000isaMAA,24060
a6GDo0000000is6MAA,11344
a6GDo0000000irDMAQ,2268
a6GDo0000000iqtMAA,11361
a6GDo0000000iplMAA,2520
a6GDo0000000iosMAA,1440
a6GDo0000000io9MAA,4476.91
a6GDo0000000iifMAA,1400
a6GDo0000000icwMAA,1500
a6GDo0000000icrMAA,21413
a6GDo0000000iYFMAY,52829
a6GDo0000000iY0MAI,5280
a6GDo0000000iXMMAY,1470
a6GDo0000000iTtMAI,3684
a6GDo0000000iR9MAI,2400
a6GDo0000000iMdMAI,2340
a6GDo0000000iDbMAI,2428.9
a6GDo0000000iBzMAI,2400
a6GDo0000000i03MAA,1200
a6GDo0000000hywMAA,2420
a6GDo0000000hgXMAQ,8000
a6GDo0000000hfKMAQ,9343.2
a6GDo0000000hf5MAA,1200
a6GDo0000000heqMAA,3480
a6GDo0000000hegMAA,2800
a6GDo0000000hebMAA,1740
a6GDo0000000hWPMAY,1276
a6GDo0000000hQ2MAI,5000
a6GDo0000000hBHMAY,4872
a6GDo0000000h3hMAA,5850
a6GDo0000000h25MAA,2220
a6GDo0000000h1lMAA,2400
a6GDo0000000h1WMAQ,1200
a6GDo0000000h1RMAQ,25960
a6GDo0000000h1HMAQ,21375
a6GDo0000000h1CMAQ,2795
a6GDo0000000h17MAA,30000
a6GDo0000000gvxMAA,5130
a6GDo0000000gvEMAQ,1200
a6GDo0000000gtXMAQ,2400
a6GDo0000000gm7MAA,21148
a6GDo0000000gKSMAY,4800
a6GDo0000000gISMAY,11508.24
a6GDo0000000gHiMAI,3750
a6GDo0000000gGkMAI,6658.3
a6GDo0000000g82MAA,2400
a6GDo0000000g4yMAA,22350
a6GDo0000000g2hMAA,2400
a6GDo0000000g1PMAQ,3435
a6GDo0000000g1FMAQ,2368.5
a6GDo0000000g0vMAA,2148
a6GDo0000000fyNMAQ,5500
a6GDo0000000fyDMAQ,1420
a6GDo0000000fx5MAA,2880
a6GDo0000000fvTMAQ,9627
a6GDo0000000fthMAA,1736
a6GDo0000000fsKMAQ,4800
a6GDo0000000fsAMAQ,5018
a6GDo0000000fiVMAQ,8226
a6GDo0000000fQfMAI,1500
a6GDo0000000fQVMAY,2400
a6GDo0000000fIMMAY,6000
a6GDo0000000fCTMAY,2510
a6GDo0000000fC4MAI,1537.52
a6GDo0000000fB6MAI,8226
a6GDo0000000fAwMAI,5200
a6GDo0000000fASMAY,3810
a6GDo0000000f8GMAQ,24700
a6GDo0000000ezYMAQ,2388
a6GDo0000000eyQMAQ,4635
a6GDo0000000ey1MAA,3024
a6GDo0000000exrMAA,3000
a6GDo0000000exXMAQ,2772
a6GDo0000000ex3MAA,5484
a6GDo0000000ewoMAA,1740
a6GDo0000000ewjMAA,1980
a6GDo0000000ewUMAQ,1668
a6GDo0000000evCMAQ,2400
a6GDo0000000eqCMAQ,1500
a6GDo0000000eB8MAI,1380
a6GDo0000000e6xMAA,2086
a6GDo0000000e76MAA,10356.96
a6GDo0000000e5yMAA,9048
a6GDo0000000e42MAA,3192
a6GDo0000000e2fMAA,1836
a6GDo0000000e1wMAA,2500
a6GDo0000000e1rMAA,46000
a6GDo0000000e1SMAQ,2500
a6GDo0000000e1IMAQ,2500
a6GDo0000000e05MAA,1800
a6GDo0000000dThMAI,3000
a6GDo0000000dRMMAY,1740
a6GDo0000000dR2MAI,1200
a6GDo0000000dQiMAI,2604
a6GDo0000000dP1MAI,1711
a6GDo0000000dGhMAI,33125
a6GDo0000000dG8MAI,4594.2
a6GDo0000000dFUMAY,3000
a6GDo0000000dFKMAY,2604
a6GDo0000000d2JMAQ,12500
a6GDo0000000d11MAA,2148
a6GDo0000000cGbMAI,5400
a6GDo0000000c6aMAA,84100
a6GDo0000000bzUMAQ,5885
a6GDo0000000aFXMAY,1200
a6GDo0000000Zk8MAE,186375
a6GDo0000000ZTfMAM,4524
a6GDo0000000Xi4MAE,7812
a6GDo0000000XdJMAU,2600
a6GDo0000000XAlMAM,72000
a6GDo0000000UKiMAM,3110.96
a6GDo0000000U0nMAE,61846
a6GDo0000000TxoMAE,8396.64
a6GDo0000000TrHMAU,9781.2
a6GDo0000000TgtMAE,4000
a6GDo0000000TgFMAU,2112
a6GDo0000000TRUMA2,3024
a6GDo0000000Rf7MAE,2520
a6GDo0000000RMAMA2,7199
a6GDo0000000Ql9MAE,30000
a6GDo0000000ODdMAM,4442.64
a6GDo0000000PRcMAM,4626.3
a6GDo0000000PDSMA2,52000
a6GDo0000000O4MMAU,1300
a6GDo0000000NUbMAM,10800
a6GDo0000000Nu5MAE,2570
a6GDo0000000NzrMAE,1750
a6GDo0000000NtUMAU,3336
a6GDo0000000NHTMA2,15162
a6GDo0000000MJbMAM,2464.81
a6GDo0000000N13MAE,25365
a6GDo0000000MxzMAE,3431.96
a6GDo0000000MSBMA2,21720
a6GDo0000000MS6MAM,12960
a6GDo0000000MNsMAM,13656
a6GDo0000000MO8MAM,8232
a6GDo0000000LXsMAM,1575
a6GDo0000000LJvMAM,3081.6
a6GDo0000000LYUMA2,3000
a6GDo0000000LI3MAM,2750
a6GDo0000000J9xMAE,3654
a6GDo0000000IHDMA2,7554.2
a6GDo0000000IPZMA2,50729.82
a6GDo0000000IOWMA2,5130
a6GDo0000000HzNMAU,4445
a6GDo0000000IMzMAM,12525
a6GDo0000000IIjMAM,2040
a6GDo0000000GDeMAM,3336
a6GDo0000000IHpMAM,4422
a6GDo0000000IAHMA2,2675
a6GDo0000000IH1MAM,6500
a6GDo0000000I1LMAU,9120
a6GDo0000000I8DMAU,6804
a6GDo0000000Hh1MAE,1800
a6GDo0000000I78MAE,4200
a6GDo0000000I8aMAE,2400
a6GDo0000000GKFMA2,4440
a6GDo0000000I8ZMAU,10004.53
a6GDo0000000H3bMAE,4093.74
a6GDo0000000IALMA2,10508.4
a6GDo0000000I9xMAE,1800
a6GDo0000000I7CMAU,3654
a6GDo0000000IBYMA2,2109.71
a6GDo0000000HwFMAU,1735.37
a6GDo0000000IAKMA2,3000
a6GDo0000000HQmMAM,9600
a6GDo0000000HwaMAE,1919.58
a6GDo0000000I5LMAU,6048
a6GDo0000000Hx3MAE,2968.08
a6GDo0000000Hj1MAE,900
a6GDo0000000I5PMAU,6048
a6GDo0000000I55MAE,3600
a6GDo0000000I2MMAU,2400
a6GDo0000000I3AMAU,1770.85
a6GDo0000000GebMAE,3000
a6GDo0000000HGaMAM,3672
a6GDo0000000HoaMAE,2400
a6GDo0000000I21MAE,10634
a6GDo0000000HbEMAU,9480
a6GDo0000000HWWMA2,11037.6
a6GDo0000000GHDMA2,4280
a6GDo0000000HncMAE,2400
a6GDo0000000HGPMA2,3438.49
a6GDo0000000HeDMAU,2300
a6GDo0000000Hx1MAE,6059
a6GDo0000000HvyMAE,7572.2
a6GDo0000000Ht4MAE,4800
a6GDo0000000HknMAE,2460
a6GDo0000000HYFMA2,6048
a6GDo0000000HsVMAU,2772
a6GDo0000000Hg8MAE,21958
a6GDo0000000HckMAE,14664
a6GDo0000000Hq5MAE,1500
a6GDo0000000GLjMAM,10639.65
a6GDo0000000HaSMAU,5349.96
a6GDo0000000GEEMA2,2400
a6GDo0000000HilMAE,2400
a6GDo0000000HaiMAE,3502.8
a6GDo0000000HHEMA2,2500
a6GDo0000000HLGMA2,2713.2
a6GDo0000000Hg6MAE,4510.8
a6GDo0000000HgkMAE,6174
a6GDo0000000HizMAE,5208
a6GDo0000000H6DMAU,2600
a6GDo0000000HiMMAU,3654
a6GDo0000000HikMAE,2520
a6GDo0000000HfhMAE,7692
a6GDo0000000HZpMAM,3000
a6GDo0000000HOnMAM,2400
a6GDo0000000HbkMAE,18308.4
a6GDo0000000HNvMAM,5424
a6GDo0000000Hb3MAE,4800
a6GDo0000000HcdMAE,2046.76
a6GDo0000000GTcMAM,2400
a6GDo0000000HcOMAU,6174
a6GDo0000000HW8MAM,10560
a6GDo0000000HamMAE,57940
a6GDo0000000H6xMAE,1662
