Id,SBQQ__Contract__r.ContractNumber,SBQQ__Product__r.Name,Is_Subscription_Valid_Text__c
a6SDo000000kBhtMAE,7020524,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFVMA2,7020524,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgNMAU,7020525,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFWMA2,7020525,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlxMAE,7020526,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFcMAM,7020526,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhwMAE,7020527,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFhMAM,7020527,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhxMAE,7020528,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFkMAM,7020528,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgSMAU,7020529,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFpMAM,7020529,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBYwMAM,7020530,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFqMAM,7020530,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhzMAE,7020531,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFsMAM,7020531,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBm2MAE,7020532,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFvMAM,7020532,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBYzMAM,7020533,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCG1MAM,7020533,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBm4MAE,7020534,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCG2MAM,7020534,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZ0MAM,7020535,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCG4MAM,7020535,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBm5MAE,7020536,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCG5MAM,7020536,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgXMAU,7020537,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCG7MAM,7020537,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgYMAU,7020538,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGBMA2,7020538,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBm7MAE,7020539,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGDMA2,7020539,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBi5MAE,7020540,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGEMA2,7020540,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBi6MAE,7020541,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGHMA2,7020541,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZ4MAM,7020542,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGJMA2,7020542,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBi8MAE,7020543,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGPMA2,7020543,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgcMAE,7020544,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGQMA2,7020544,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiBMAU,7020545,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGbMAM,7020545,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZ9MAM,7020546,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGdMAM,7020546,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBggMAE,7020547,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGgMAM,7020547,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmFMAU,7020548,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGiMAM,7020548,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBghMAE,7020549,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGkMAM,7020549,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiEMAU,7020550,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGnMAM,7020550,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZCMA2,7020551,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGpMAM,7020551,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmHMAU,7020552,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGqMAM,7020552,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgjMAE,7020553,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiFMAU,7020553,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGrMAM,7020553,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmIMAU,7020554,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGtMAM,7020554,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiHMAU,7020555,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCGyMAM,7020555,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZFMA2,7020556,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCH0MAM,7020556,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmKMAU,7020557,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCH1MAM,7020557,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmMMAU,7020558,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCH9MAM,7020558,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiLMAU,7020559,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHEMA2,7020559,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgqMAE,7020560,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHJMA2,7020560,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZKMA2,7020561,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHKMA2,7020561,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiOMAU,7020562,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHPMA2,7020562,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZNMA2,7020563,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHUMA2,7020563,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmVMAU,7020564,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHhMAM,7020564,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgyMAE,7020565,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHnMAM,7020565,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiWMAU,7020566,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHtMAM,7020566,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZVMA2,7020567,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCHzMAM,7020567,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBh4MAE,7020568,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiaMAE,7020568,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCI9MAM,7020568,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmdMAE,7020569,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIBMA2,7020569,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBibMAE,7020570,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCICMA2,7020570,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmeMAE,7020571,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIFMA2,7020571,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBicMAE,7020572,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
