Id,BB_KB_Cancellation__c
0013i00000D3vZFAAZ,true
0013i00000D41c2AAB,true
0013i00000D45MTAAZ,true
0013i00000D48GMAAZ,true
0013i00000D4CIrAAN,true
0013i00000D4JXgAAN,true
0013i00000EMDZjAAP,true
0013i00000EMDhEAAX,true
0013i00000EMMqWAAX,true
0013i00000EMaBIAA1,true
0013i00000EMak3AAD,true
0013i00000EMdwLAAT,true
0013i00000EMrdPAAT,true
0013i00000EN22fAAD,true
0013i00000EN2dEAAT,true
0013i00000ENEU2AAP,true
0013i00000ENJLtAAP,true
0013i00000ENJs4AAH,true
0013i00000ENK3tAAH,true
0013i00000ENMUIAA5,true
0013i00000ENVTfAAP,true
0013i00000ENXSkAAP,true
0013i00000ENXkRAAX,true
0013i00000ENYXjAAP,true
0013i00000ENbZGAA1,true
0013i00000ENcIPAA1,true
0013i00000ENh57AAD,true
0013i00000ENh6PAAT,true
0013i00000ENhRrAAL,true
0013i00000ENwnKAAT,true
0013i00000ENxSmAAL,true
0013i00000ENxumAAD,true
0013i00000ENzhEAAT,true
0013i00000ENznHAAT,true
0013i00000EO400AAD,true
0013i00000EO4IUAA1,true
0013i00000EO7foAAD,true
0013i00000EOAXJAA5,true
0013i00000EOMXFAA5,true
0013i00000EON8yAAH,true
0013i00000EOO5qAAH,true
0013i00000EOOETAA5,true
0013i00000EOUEaAAP,true
0013i00000EOZPGAA5,true
0013i00000EOZVYAA5,true
0013i00000EOZWHAA5,true
0013i00000EOZpYAAX,true
0013i00000EOZweAAH,true
0013i00000EOaDuAAL,true
0013i00000EOabmAAD,true
0013i00000EOaghAAD,true
0013i00000EObk6AAD,true
0013i00000EOiYaAAL,true
0013i00000EOiiAAAT,true
0013i00000EOj1NAAT,true
0013i00000EOj6OAAT,true
0013i00000EOjfEAAT,true
0013i00000EP2IWAA1,true
0013i00000EPEFzAAP,true
0013i00000EPePhAAL,true
0013i00000EPebcAAD,true
0013i00000EPfeDAAT,true
0013i00000EPkUaAAL,true
0013i00000EPl1AAAT,true
0013i00000EPlCNAA1,true
0013i00000EPlHmAAL,true
0013i00000EPlW3AAL,true
0013i00000EPloQAAT,true
0013i00000EPqTeAAL,true
0013i00000EPqUSAA1,true
0013i00000EPr4tAAD,true
0013i00000EPvCZAA1,true
0013i00000EPz8PAAT,true
0013i00000EPzFBAA1,true
0013i00000EQ0qwAAD,true
0013i00000FiGGYAA3,true
0013i00000FiOTfAAN,true
0013i00000FiPHUAA3,true
0013i00000FiR2PAAV,true
0013i00000FiV1wAAF,true
0013i00000FiV4CAAV,true
0013i00000FiYqQAAV,true
0013i00000FibpdAAB,true
0013i00000FiiILAAZ,true
0013i00000FikZkAAJ,true
0013i00000Fil4TAAR,true
0013i00000FilN6AAJ,true
0013i00000FioADAAZ,true
0013i00000FivcrAAB,true
0013i00000FivdVAAR,true
0013i00000FjAhaAAF,true
0013i00000FjAiEAAV,true
0013i00000FjAt7AAF,true
0013i00000FjAwfAAF,true
0013i00000FjEtCAAV,true
0013i00000FjF3RAAV,true
0013i00000FjI85AAF,true
0013i00000FjICbAAN,true
0013i00000FjIRbAAN,true
0013i00000FjLpuAAF,true
0013i00000FjLw7AAF,true
0013i00000FjM6DAAV,true
0013i00000FjMFEAA3,true
0013i00000FjMFsAAN,true
0013i00000FjMQWAA3,true
0013i00000FkQJhAAN,true
0013i00000FkRjMAAV,true
0013i00000FkYNFAA3,true
0013i00000FkYQJAA3,true
0013i00000FkZ1yAAF,true
0013i00000FkpsMAAR,true
0013i00000FkqRzAAJ,true
0013i00000Fl2zXAAR,true
0013i00000Fl39OAAR,true
0013i00000Fl51EAAR,true
0013i00000Fl527AAB,true
0013i00000FlCoxAAF,true
0013i00000FlD6wAAF,true
0013i00000FlDb8AAF,true
0013i00000FlFGmAAN,true
0013i00000FlFQDAA3,true
0013i00000FlHFkAAN,true
0013i00000FlHMaAAN,true
0013i00000FlHYgAAN,true
0013i00000FlHaIAAV,true
0013i00000FlHuaAAF,true
0013i00000FlHufAAF,true
0013i00000FlI17AAF,true
0013i00000FlIpGAAV,true
0013i00000FlY1oAAF,true
0013i00000FlYpbAAF,true
0013i00000FlbNzAAJ,true
0013i00000FlbOTAAZ,true
0013i00000Flcu0AAB,true
0013i00000Fled1AAB,true
0013i00000FlefMAAR,true
0013i00000Flf85AAB,true
0013i00000FlfAkAAJ,true
0013i00000FlpNxAAJ,true
0013i00000FltfBAAR,true
0013i00000FlzyxAAB,true
0013i00000Fm0DYAAZ,true
0013i00000Fm0SiAAJ,true
0013i00000Fm3UeAAJ,true
0013i00000Fm70aAAB,true
0013i00000Fm9AMAAZ,true
0013i00000Fm9J9AAJ,true
0013i00000Fm9KbAAJ,true
0013i00000FmJ2dAAF,true
0013i00000GnFpTAAV,true
0013i00000GnFzWAAV,true
0013i00000GnFzvAAF,true
0013i00000GnJmmAAF,true
0013i00000GnMKOAA3,true
0013i00000GnMSSAA3,true
0013i00000GnQ7LAAV,true
0013i00000GnX4zAAF,true
0013i00000GnZBJAA3,true
0013i00000GnZClAAN,true
0013i00000GnZTcAAN,true
0013i00000GnZfJAAV,true
0013i00000Gnc2EAAR,true
0013i00000GncapAAB,true
0013i00000GncfzAAB,true
0013i00000GncoxAAB,true
0013i00000GndNhAAJ,true
0013i00000Gng6nAAB,true
0013i00000GngJiAAJ,true
0013i00000GngdNAAR,true
0013i00000GnuJ3AAJ,true
0013i00000Go23iAAB,true
0013i00000Go36VAAR,true
0013i00000Go7zLAAR,true
0013i00000GoABmAAN,true
0013i00000GoAEvAAN,true
0013i00000GoBTIAA3,true
0013i00000GoDLfAAN,true
0013i00000GoMXwAAN,true
0013i00000GoMZ4AAN,true
0013i00000GoMw0AAF,true
0013i00000GoOlNAAV,true
0013i00000GoOuoAAF,true
0013i00000GoPgsAAF,true
0013i00000GoPjhAAF,true
0013i00000GoREWAA3,true
0013i00000GoRdlAAF,true
0013i00000GoSAlAAN,true
0013i00000GoSUDAA3,true
0013i00000GoSaKAAV,true
0013i00000GoSeNAAV,true
0013i00000GoYbzAAF,true
0013i00000GoZjSAAV,true
0013i00000GoaIlAAJ,true
0013i00000GorStAAJ,true
0013i00000Gou9QAAR,true
0013i00000Gp1s8AAB,true
0013i00000Gp8VWAAZ,true
0013i00000GpDZBAA3,true
0013i00000GpdVhAAJ,true
0013i00000GpdWGAAZ,true
0013i00000Gpt1XAAR,true
0013i00000GqEnjAAF,true
0013i00000GqFJeAAN,true
0013i00000GqFSpAAN,true
0013i00000GqIJhAAN,true
0013i00000GqIURAA3,true
0013i00000GqImjAAF,true
0013i00000GqVrvAAF,true
0013i00000GqVyxAAF,true
0013i00000GqdilAAB,true
0013i00000Gqn1nAAB,true
0013i00000GqnT0AAJ,true
0013i00000GqxxrAAB,true
0013i00000Gr02qAAB,true
0013i00000Gr4clAAB,true
0013i00000Gr5ZdAAJ,true
0013i00000Gr7RDAAZ,true
0013i00000GrKlxAAF,true
0013i00000GrLAYAA3,true
0013i00000GrML0AAN,true
0013i00000GrPciAAF,true
0013i00000IxhO0AAJ,true
0013i00000IxhnLAAR,true
0013i00000IxmGdAAJ,true
0013i00000IxvWjAAJ,true
0013i00000IxwyGAAR,true
0013i00000IxxxjAAB,true
0013i00000IxyEmAAJ,true
0013i00000IxyJ6AAJ,true
0013i00000TE5XJAA1,true
0013i00000ml9orAAA,true
0013i000011OwvYAAS,true
0013i000011P3VxAAK,true
0013i00001UvWHzAAN,true
0013i00001kJF23AAG,true
0013i00001kJoIsAAK,true
0013i00001kLK8bAAG,true
0013i00002Z4MN9AAN,true
0013i00002Z6gBpAAJ,true
