Id,State_Name__c
a8yDo0000011642IAA,VT
a8yDo0000011645IAA,Illinois
a8yDo0000011646IAA,Illinois
a8yDo0000011647IAA,Louisiana
a8yDo0000011648IAA,Maine
a8yDo000001168EIAQ,California
a8yDo000001168bIAA,#N/A
a8yDo0000011661IAA,Indiana
a8yDo0000011662IAA,Indiana
a8yDo0000011663IAA,Indiana
a8yDo0000011664IAA,Iowa
a8yDo000001167OIAQ,NY
a8yDo000001167eIAA,Maine
a8yDo000001167fIAA,Illinois
a8yDo000001167gIAA,Kentucky
a8yDo000001167hIAA,Kentucky
a8yDo0000011682IAA,NY
a8yDo000001168DIAQ,CA
a8yDo000001165kIAA,Iowa
a8yDo000001165lIAA,Massachusetts
a8yDo000001165mIAA,Iowa
a8yDo000001165nIAA,Iowa
a8yDo000001165oIAA,IA
a8yDo000001165wIAA,AZ
a8yDo000001165yIAA,Indiana
a8yDo000001165zIAA,Indiana
a8yDo0000011660IAA,Indiana
a8yDo00000116HVIAY,Kentucky
a8yDo00000116HWIAY,Kentucky
a8yDo00000116HcIAI,IL
a8yDo00000116HdIAI,Kentucky
a8yDo00000116I8IAI,Texas
a8yDo00000116H5IAI,New Mexico
a8yDo00000116C8IAI,New York
a8yDo00000116KEIAY,California
a8yDo00000116LuIAI,Illinois
a8yDo00000116M4IAI,California
a8yDo00000116M7IAI,IL
a8yDo00000116MGIAY,Kansas
a8yDo00000116MHIAY,Kansas
a8yDo00000116MdIAI,CA
a8yDo00000116OTIAY,Pennsylvania
a8yDo00000116NFIAY,MA
a8yDo00000116RpIAI,Florida
a8yDo00000116S0IAI,CA
a8yDo00000116UIIAY,NY
a8yDo00000116UJIAY,IL
a8yDo00000116UKIAY,Illinois
a8yDo00000116UhIAI,NJ
a8yDo00000116SHIAY,VA
a8yDo00000116SLIAY,VA
a8yDo00000116SMIAY,Ohio
a8yDo00000116SNIAY,Ohio
a8yDo00000116SOIAY,Ohio
a8yDo00000116SUIAY,Utah
a8yDo00000116SVIAY,Idaho
a8yDo00000116SWIAY,Idaho
a8yDo00000116SXIAY,Utah
a8yDo00000116SYIAY,Utah
a8yDo00000116SZIAY,Utah
a8yDo00000116SaIAI,Utah
a8yDo00000116SlIAI,CA
a8yDo00000116TeIAI,Missouri
a8yDo00000116U6IAI,NY
a8yDo00000116SoIAI,IL
a8yDo00000116SpIAI,Illinois
a8yDo00000116SqIAI,Illinois
a8yDo00000116T6IAI,FL
a8yDo00000116THIAY,IL
a8yDo00000116TIIAY,IL
a8yDo00000116TJIAY,Illinois
a8yDo00000116TcIAI,Texas
a8yDo00000116TdIAI,Texas
a8yDo00000116ZVIAY,TX
a8yDo00000116bSIAQ,Iowa
a8yDo00000116bTIAQ,Iowa
a8yDo00000116bVIAQ,Iowa
a8yDo00000116bWIAQ,PA
a8yDo00000116bbIAA,Arizona
a8yDo00000116bcIAA,Arizona
a8yDo00000116bdIAA,Arizona
a8yDo00000116beIAA,California
a8yDo00000116bfIAA,Arizona
a8yDo00000116bgIAA,Arizona
a8yDo00000116bhIAA,Indiana
a8yDo00000116bkIAA,Indiana
a8yDo00000116blIAA,IN
a8yDo00000116aNIAQ,CA
a8yDo00000116aZIAQ,MO
a8yDo00000116anIAA,NY
a8yDo00000116axIAA,CT
a8yDo00000116b5IAA,New Mexico
a8yDo00000116bAIAQ,PA
a8yDo00000116ZnIAI,Vermont
a8yDo00000116ZsIAI,California
a8yDo00000116ZtIAI,Louisiana
a8yDo00000116ZuIAI,Louisiana
a8yDo00000116ZvIAI,Louisiana
a8yDo00000116ZwIAI,Louisiana
a8yDo00000116a0IAA,ME
a8yDo00000116a1IAA,California
a8yDo00000116aEIAQ,CA
a8yDo00000116bmIAA,Indiana
a8yDo00000116dkIAA,California
a8yDo00000116dzIAA,CA
a8yDo00000116e3IAA,CA
a8yDo00000116dZIAQ,New York
a8yDo00000116djIAA,California
a8yDo00000116cLIAQ,PA
a8yDo00000116cMIAQ,Pennsylvania
a8yDo00000116cNIAQ,Pennsylvania
a8yDo00000116e6IAA,TN
a8yDo00000116cpIAA,Kentucky
a8yDo00000116csIAA,Massachusetts
a8yDo00000116d8IAA,NY
a8yDo00000116dAIAQ,Kentucky
a8yDo00000116dCIAQ,Kentucky
a8yDo0000011AqbIAE,NJ
a8yDo0000011AqaIAE,OH
a8yDo0000011AqlIAE,FL
a8yDo0000011AqkIAE,NJ
a8yDo0000011AqgIAE,OH
a8yDo0000011AqfIAE,VA
a8yDo0000011AquIAE,NY
a8yDo0000011AqvIAE,NC
a8yDo0000011AqqIAE,NY
a8yDo0000011AqpIAE,MN
a8yDo0000011Ar0IAE,IL
a8yDo0000011AqzIAE,MA
a8yDo0000011ArEIAU,TX
a8yDo0000011ArFIAU,IA
a8yDo0000011ArPIAU,MO
a8yDo0000011ArOIAU,PA
a8yDo0000011Ar9IAE,PA
a8yDo0000011ArUIAU,NY
a8yDo0000011Ar5IAE,MA
a8yDo0000011Ar4IAE,OH
a8yDo0000011ArKIAU,CA
a8yDo0000011ArJIAU,CO
a8yDo0000011ArTIAU,KS
a8yDo0000011ArAIAU,VA
a8yDo0000011AqxIAE,CA
a8yDo0000011As7IAE,MA
a8yDo0000011As8IAE,MN
a8yDo0000011AriIAE,AZ
a8yDo0000011ArjIAE,NJ
a8yDo0000011ArsIAE,PA
a8yDo0000011ArtIAE,NY
a8yDo0000011ArnIAE,CT
a8yDo0000011AroIAE,VA
a8yDo0000011ArxIAE,VA
a8yDo0000011AryIAE,WA
a8yDo0000011ArYIAU,VA
a8yDo0000011ArZIAU,CA
a8yDo0000011ArdIAE,MN
a8yDo0000011AreIAE,TX
a8yDo0000011As2IAE,MD
a8yDo0000011As3IAE,MD
a8yDo0000011AqwIAE,OK
a8yDo0000011ArBIAU,MA
a8yDo0000011AsbIAE,WA
a8yDo0000011AsXIAU,MN
a8yDo0000011AsWIAU,WI
a8yDo0000011AsgIAE,NY
a8yDo0000011AshIAE,CA
a8yDo0000011AsIIAU,CT
a8yDo0000011AsHIAU,WA
a8yDo0000011AscIAE,PA
a8yDo0000011AsNIAU,PA
a8yDo0000011AsMIAU,MD
a8yDo0000011AsRIAU,OR
a8yDo0000011AsDIAU,OH
a8yDo0000011AsCIAU,IL
a8yDo0000011ArCIAU,IA
a8yDo0000011AsrIAE,CA
a8yDo0000011AsqIAE,FL
a8yDo0000011At6IAE,OH
a8yDo0000011At5IAE,MO
a8yDo0000011AsmIAE,NJ
a8yDo0000011AslIAE,NY
a8yDo0000011ArMIAU,CA
a8yDo0000011ArLIAU,NE
a8yDo0000011AsvIAE,TX
a8yDo0000011AswIAE,MI
a8yDo0000011At1IAE,NY
a8yDo0000011At0IAE,NY
a8yDo0000011AtBIAU,MT
a8yDo0000011AtAIAU,CA
a8yDo0000011AtPIAU,CO
a8yDo0000011AtoIAE,OH
a8yDo0000011AtFIAU,PA
a8yDo0000011AtLIAU,NC
a8yDo0000011AtKIAU,IN
a8yDo0000011AtZIAU,FL
a8yDo0000011AtaIAE,CA
a8yDo0000011AtVIAU,NY
a8yDo0000011AtUIAU,CO
a8yDo0000011AteIAE,CA
a8yDo0000011AtQIAU,DC
a8yDo0000011AtjIAE,CA
a8yDo0000011AtkIAE,NY
a8yDo0000011AtpIAE,CA
a8yDo0000011AtGIAU,MI
a8yDo0000011AruIAE,NY
a8yDo0000011ArvIAE,CO
a8yDo0000011AtuIAE,CA
a8yDo0000011AttIAE,TX
a8yDo0000011Au8IAE,MN
a8yDo0000011Au9IAE,IL
a8yDo0000011Au4IAE,CA
a8yDo0000011AuDIAU,PA
a8yDo0000011AuEIAU,CO
a8yDo0000011AuIIAU,CA
a8yDo0000011AuJIAU,IL
a8yDo0000011Au3IAE,CO
a8yDo0000011AtzIAE,NJ
a8yDo0000011AuNIAU,CA
a8yDo0000011AuOIAU,CO
a8yDo0000011AuSIAU,IN
a8yDo0000011AuTIAU,CO
a8yDo0000011AucIAE,GA
a8yDo0000011AuYIAU,IL
a8yDo0000011AumIAE,NE
a8yDo0000011AunIAE,CA
a8yDo0000011AuiIAE,IL
a8yDo0000011AuhIAE,NY
a8yDo0000011AuXIAU,TX
a8yDo0000011AudIAE,CA
a8yDo0000011AuwIAE,TX
a8yDo0000011AuxIAE,NJ
a8yDo0000011AsxIAE,TX
a8yDo0000011AsyIAE,MD
a8yDo0000011AurIAE,OH
a8yDo0000011AvCIAU,CO
a8yDo0000011Av6IAE,CA
a8yDo0000011Av7IAE,CA
a8yDo0000011Av2IAE,CA
a8yDo0000011Av1IAE,WI
a8yDo0000011AvBIAU,FL
a8yDo0000011AusIAE,CO
a8yDo0000011AvkIAE,NY
a8yDo0000011AvHIAU,MD
a8yDo0000011AvfIAE,AZ
a8yDo0000011AvgIAE,CA
a8yDo0000011AvQIAU,CA
a8yDo0000011AvRIAU,CA
a8yDo0000011AvLIAU,MN
a8yDo0000011AvMIAU,NJ
a8yDo0000011AvpIAE,NJ
a8yDo0000011AvqIAE,CA
a8yDo0000011AvWIAU,NJ
a8yDo0000011AvVIAU,IL
a8yDo0000011AvaIAE,OH
a8yDo0000011AvbIAE,WA
a8yDo0000011AvuIAE,NY
a8yDo0000011AvvIAE,CO
a8yDo0000011AvGIAU,NJ
a8yDo0000011AvlIAE,PA
a8yDo0000011AwOIAU,WA
a8yDo0000011AwAIAU,CT
a8yDo0000011Aw4IAE,MT
a8yDo0000011Aw5IAE,CA
a8yDo0000011AwEIAU,CT
a8yDo0000011AwFIAU,NJ
a8yDo0000011AvzIAE,CO
a8yDo0000011Aw0IAE,NY
a8yDo0000011AwJIAU,WI
a8yDo0000011AwKIAU,WI
a8yDo0000011AtlIAE,WI
a8yDo0000011AtmIAE,CA
a8yDo0000011AwTIAU,CA
a8yDo0000011AwUIAU,FL
a8yDo0000011Aw9IAE,GA
a8yDo0000011AwPIAU,CA
a8yDo0000011AwtIAE,NV
a8yDo0000011AwZIAU,CO
a8yDo0000011AwiIAE,CA
a8yDo0000011AwjIAE,PA
a8yDo0000011AwoIAE,TX
a8yDo0000011AwxIAE,CO
a8yDo0000011AwyIAE,FL
a8yDo0000011AwnIAE,NC
a8yDo0000011Ax7IAE,OH
a8yDo0000011Ax8IAE,CA
a8yDo0000011AwdIAE,MI
a8yDo0000011AweIAE,WA
a8yDo0000011Ax2IAE,CA
a8yDo0000011Ax3IAE,FL
a8yDo0000011AwYIAU,NE
a8yDo0000011AwsIAE,VA
a8yDo0000011AxRIAU,OH
a8yDo0000011AxSIAU,NC
a8yDo0000011AxMIAU,GA
a8yDo0000011AxNIAU,OH
a8yDo0000011AsOIAU,MD
a8yDo0000011AsPIAU,NY
a8yDo0000011AxcIAE,PA
a8yDo0000011AxDIAU,PA
a8yDo0000011AxHIAU,AZ
a8yDo0000011AxIIAU,DC
a8yDo0000011AxWIAU,IL
a8yDo0000011AxXIAU,NJ
a8yDo0000011AxbIAE,NY
a8yDo0000011AxCIAU,FL
a8yDo0000011Ay5IAE,NJ
a8yDo0000011AxhIAE,MI
a8yDo0000011AxvIAE,CO
a8yDo0000011AxwIAE,CO
a8yDo0000011Ay0IAE,NY
a8yDo0000011Ay1IAE,CA
a8yDo0000011AxqIAE,CA
a8yDo0000011AxrIAE,MA
a8yDo0000011AxlIAE,LA
a8yDo0000011AxmIAE,VA
a8yDo0000011AyFIAU,IL
a8yDo0000011AyGIAU,CA
a8yDo0000011AyKIAU,MA
a8yDo0000011AyLIAU,GA
a8yDo0000011AyAIAU,AZ
a8yDo0000011AyBIAU,CA
a8yDo0000011AxgIAE,OH
a8yDo0000011Ay6IAE,CA
a8yDo0000011AyZIAU,UT
a8yDo0000011AyUIAU,MS
a8yDo0000011AyVIAU,PA
a8yDo0000011AyoIAE,OR
a8yDo0000011AypIAE,MS
a8yDo0000011AyjIAE,ID
a8yDo0000011AyQIAU,TX
a8yDo0000011AyeIAE,NE
a8yDo0000011AytIAE,MD
a8yDo0000011AyuIAE,GA
a8yDo0000011AyyIAE,CA
a8yDo0000011AyzIAE,CA
a8yDo0000011AyPIAU,WA
a8yDo0000011AyfIAE,NY
a8yDo0000011AvNIAU,CA
a8yDo0000011AzOIAU,CO
a8yDo0000011Az8IAE,NY
a8yDo0000011Az9IAE,MN
a8yDo0000011AzEIAU,NJ
a8yDo0000011AzDIAU,CO
a8yDo0000011AzIIAU,IA
a8yDo0000011AzJIAU,OR
a8yDo0000011Az3IAE,IL
a8yDo0000011Az4IAE,MO
a8yDo0000011AzSIAU,MD
a8yDo0000011AzTIAU,NY
a8yDo0000011AvDIAU,PA
a8yDo0000011AvEIAU,PA
a8yDo0000011AzNIAU,TX
a8yDo0000011AvOIAU,MD
a8yDo0000011AziIAE,CA
a8yDo0000011AzhIAE,NE
a8yDo0000011AvhIAE,OR
a8yDo0000011AviIAE,NY
a8yDo0000011AzwIAE,PA
a8yDo0000011AzxIAE,NJ
a8yDo0000011AzYIAU,NY
a8yDo0000011AzdIAE,VA
a8yDo0000011AzmIAE,CA
a8yDo0000011AznIAE,FL
a8yDo0000011AzrIAE,CA
a8yDo0000011AzsIAE,GA
a8yDo0000011AzXIAU,NC
a8yDo0000011AzcIAE,NC
a8yDo0000011B0LIAU,VA
a8yDo0000011B0MIAU,NJ
a8yDo0000011B06IAE,NJ
a8yDo0000011Aw6IAE,UT
a8yDo0000011Aw7IAE,NC
a8yDo0000011B0GIAU,CA
a8yDo0000011B0HIAU,CA
a8yDo0000011B02IAE,NY
a8yDo0000011B01IAE,NY
a8yDo0000011B0QIAU,PA
a8yDo0000011B0RIAU,TX
a8yDo0000011B0BIAU,CO
a8yDo0000011B0CIAU,NC
a8yDo0000011B0VIAU,MI
a8yDo0000011B0WIAU,OH
a8yDo0000011B0qIAE,MI
a8yDo0000011Ar7IAE,CA
a8yDo0000011B10IAE,CA
a8yDo0000011B0pIAE,IL
a8yDo0000011B0kIAE,NY
a8yDo0000011B0lIAE,CT
a8yDo0000011B0aIAE,NJ
a8yDo0000011B0bIAE,NJ
a8yDo0000011B0uIAE,CA
a8yDo0000011B0vIAE,CA
a8yDo0000011B0fIAE,OH
a8yDo0000011B0gIAE,VA
a8yDo0000011AwaIAE,OH
a8yDo0000011AwbIAE,CA
a8yDo0000011Ar6IAE,AK
a8yDo0000011B0zIAE,NJ
a8yDo0000011B1TIAU,AR
a8yDo0000011ArNIAU,NY
a8yDo0000011B1JIAU,CA
a8yDo0000011B1KIAU,CA
a8yDo0000011B1EIAU,WA
a8yDo0000011B1FIAU,NC
a8yDo0000011B1PIAU,PA
a8yDo0000011B1OIAU,IL
a8yDo0000011B15IAE,NH
a8yDo0000011B19IAE,CA
a8yDo0000011Ax4IAE,CA
a8yDo0000011Ax5IAE,FL
a8yDo0000011AsTIAU,NY
a8yDo0000011AsUIAU,TX
a8yDo0000011AsJIAU,MI
a8yDo0000011B14IAE,CA
a8yDo0000011B1UIAU,CA
a8yDo0000011AtMIAU,MD
a8yDo0000011B1eIAE,NJ
a8yDo0000011AxTIAU,CA
a8yDo0000011AxUIAU,MO
a8yDo0000011AvcIAE,NY
a8yDo0000011AvdIAE,TX
a8yDo0000011B1iIAE,MI
a8yDo0000011B1jIAE,TN
a8yDo0000011AsnIAE,CA
a8yDo0000011AsoIAE,WI
a8yDo0000011AxiIAE,PA
a8yDo0000011AxjIAE,OH
a8yDo0000011B1YIAU,OH
a8yDo0000011B1ZIAU,NC
a8yDo0000011B1dIAE,CO
a8yDo0000011AtNIAU,MN
a8yDo0000011B1xIAE,NC
a8yDo0000011B2CIAU,WI
a8yDo0000011B2HIAU,TX
a8yDo0000011B2IIAU,MA
a8yDo0000011B1sIAE,MT
a8yDo0000011B1tIAE,IL
a8yDo0000011B1nIAE,DC
a8yDo0000011B1oIAE,TX
a8yDo0000011AxxIAE,MI
a8yDo0000011AxyIAE,CA
a8yDo0000011B22IAE,PA
a8yDo0000011B23IAE,CT
a8yDo0000011B27IAE,WI
a8yDo0000011B28IAE,CA
a8yDo0000011AtnIAE,IA
a8yDo0000011B1yIAE,MI
a8yDo0000011B2WIAU,NJ
a8yDo0000011AuLIAU,IL
a8yDo0000011B2MIAU,CO
a8yDo0000011B2NIAU,IL
a8yDo0000011B2RIAU,NY
a8yDo0000011B2SIAU,PA
a8yDo0000011B2gIAE,CA
a8yDo0000011B2hIAE,CA
a8yDo0000011B2cIAE,OH
a8yDo0000011B2bIAE,NY
a8yDo0000011AygIAE,CA
a8yDo0000011AyhIAE,NC
a8yDo0000011AyRIAU,CA
a8yDo0000011AySIAU,IA
a8yDo0000011AuKIAU,OH
a8yDo0000011B2XIAU,CO
a8yDo0000011AzAIAU,CA
a8yDo0000011AzBIAU,CA
a8yDo0000011B2lIAE,VA
a8yDo0000011AwzIAE,MN
a8yDo0000011Ax0IAE,PA
a8yDo0000011B2qIAE,CA
a8yDo0000011B2vIAE,NV
a8yDo0000011AylIAE,DC
a8yDo0000011AymIAE,TX
a8yDo0000011B30IAE,FL
a8yDo0000011B31IAE,MN
a8yDo0000011B2wIAE,PA
a8yDo0000011Az0IAE,NY
a8yDo0000011B2rIAE,PA
a8yDo0000011B3PIAU,OH
a8yDo0000011B3VIAU,NY
a8yDo0000011B3FIAU,CA
a8yDo0000011AvPIAU,CA
a8yDo0000011B35IAE,IL
a8yDo0000011B36IAE,IL
a8yDo0000011B3AIAU,ID
a8yDo0000011B3BIAU,CA
a8yDo0000011AzFIAU,KY
a8yDo0000011AzGIAU,CA
a8yDo0000011B0IIAU,WA
a8yDo0000011B0JIAU,CA
a8yDo0000011B3KIAU,MN
a8yDo0000011B3LIAU,MA
a8yDo0000011B3UIAU,COLORADO
a8yDo0000011B3QIAU,GA
a8yDo0000011B3tIAE,CA
a8yDo0000011B3pIAE,COLORADO
a8yDo0000011AwkIAE,VA
a8yDo0000011B3eIAE,TX
a8yDo0000011B3fIAE,CA
a8yDo0000011B3jIAE,PA
a8yDo0000011B0YIAU,NY
a8yDo0000011B3ZIAU,AL
a8yDo0000011B3aIAE,NY
a8yDo0000011B3yIAE,SC
a8yDo0000011B3zIAE,MO
a8yDo0000011B0XIAU,PA
a8yDo0000011B3kIAE,NH
a8yDo0000011AxEIAU,CA
a8yDo0000011B4OIAU,NY
a8yDo0000011B4IIAU,CA
a8yDo0000011B4JIAU,CA
a8yDo0000011B43IAE,TX
a8yDo0000011B44IAE,NY
a8yDo0000011B4DIAU,CA
a8yDo0000011Ax9IAE,OR
a8yDo0000011AxAIAU,OH
a8yDo0000011B48IAE,COLORADO
a8yDo0000011B49IAE,MA
a8yDo0000011B1bIAE,MI
a8yDo0000011B4EIAU,GA
a8yDo0000011B4NIAU,AL
a8yDo0000011AxFIAU,CA
a8yDo0000011AtRIAU,TX
a8yDo0000011B4TIAU,CA
a8yDo0000011B1uIAE,UT
a8yDo0000011B1vIAE,MN
a8yDo0000011B4cIAE,IN
a8yDo0000011B4dIAE,COLORADO
a8yDo0000011B4hIAE,NJ
a8yDo0000011B4iIAE,AZ
a8yDo0000011AyHIAU,CO
a8yDo0000011AyIIAU,MI
a8yDo0000011AyTIAU,TX
a8yDo0000011B4mIAE,CO
a8yDo0000011B4XIAU,CA
a8yDo0000011B4YIAU,IL
a8yDo0000011B4SIAU,NY
a8yDo0000011AtSIAU,ARIZONA
a8yDo0000011B2YIAU,UT
a8yDo0000011B2ZIAU,CA
a8yDo0000011B4wIAE,PA
a8yDo0000011B4xIAE,MI
