BB_Account_Sequence__c,BB_KB_Cancellation__c,BB_Last_Access_Date__c,BB_Stats__c
8305734-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8362750-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8364361-0,TRUE,2023-02-21T16:11:00Z,Review:5  BId:0  Tmins:1 PageViews:1
8413119-0,TRUE,2023-05-01T17:46:00Z,Review:64  BId:0  Tmins:164 PageViews:38
8557568-0,TRUE,2023-03-20T15:11:00Z,Review:1  BId:1  Tmins:1 PageViews:1
8574980-0,TRUE,2023-05-06T22:03:00Z,Review:39  BId:1  Tmins:10 PageViews:8
8600159-0,TRUE,,Review:12  BId:1  Tmins: PageViews:
8629389-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8630293-0,TRUE,2023-01-31T03:50:00Z,Review:4  BId:0  Tmins:2 PageViews:0
8632829-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8636779-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8638364-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8658354-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8658627-0,TRUE,2023-04-23T19:06:00Z,Review:9  BId:1  Tmins:28 PageViews:14
8729650-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8758893-0,TRUE,2023-05-13T18:34:00Z,Review:11  BId:18  Tmins:33 PageViews:11
8763426-0,TRUE,2023-04-28T18:19:00Z,Review:12  BId:8  Tmins:16 PageViews:12
8768055-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8776128-0,TRUE,2023-05-11T23:19:00Z,Review:1  BId:0  Tmins:1 PageViews:1
8784120-0,TRUE,2023-03-06T11:14:00Z,Review:20  BId:0  Tmins:8 PageViews:4
8822230-0,TRUE,2023-02-15T16:40:00Z,Review:2  BId:0  Tmins:1 PageViews:1
8829055-0,TRUE,2023-03-30T13:28:00Z,Review:3  BId:0  Tmins:1 PageViews:1
8832466-0,TRUE,2023-03-24T14:52:00Z,Review:15  BId:3  Tmins:1 PageViews:0
8833157-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8834383-0,TRUE,,Review:11  BId:10  Tmins: PageViews:
8834611-0,TRUE,2023-05-04T09:49:00Z,Review:62  BId:6  Tmins:40 PageViews:17
8837555-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8838926-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8839164-0,TRUE,2023-02-24T21:51:00Z,Review:23  BId:1  Tmins:31 PageViews:14
8840797-0,TRUE,,Review:11  BId:0  Tmins: PageViews:
8844161-0,TRUE,2023-05-16T18:23:00Z,Review:126  BId:5  Tmins:151 PageViews:72
8845693-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
195884-0,TRUE,2023-01-10T19:43:00Z,Review:0  BId:0  Tmins:2 PageViews:0
252340-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
266196-0,TRUE,2023-04-10T21:45:00Z,Review:1  BId:1  Tmins:5 PageViews:5
333164-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
385175-0,TRUE,2023-05-03T12:22:00Z,Review:5  BId:3  Tmins:27 PageViews:5
473955-0,TRUE,2023-03-07T12:19:00Z,Review:1  BId:0  Tmins:1 PageViews:1
520528-0,TRUE,2023-04-12T10:54:00Z,Review:46  BId:5  Tmins:78 PageViews:27
536018-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
761502-0,TRUE,2023-03-06T09:43:00Z,Review:2  BId:0  Tmins:12 PageViews:0
921797-0,TRUE,2023-04-08T15:35:00Z,Review:47  BId:21  Tmins:9 PageViews:7
974436-0,TRUE,2023-03-22T11:15:00Z,Review:10  BId:0  Tmins:2 PageViews:1
1422787-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
1449982-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
2479582-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4279934-0,TRUE,2023-05-05T13:06:00Z,Review:19  BId:0  Tmins:9 PageViews:6
4876068-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
5319483-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
5869606-0,TRUE,2023-04-28T11:30:00Z,Review:8  BId:1  Tmins:24 PageViews:9
5981318-0,TRUE,2023-03-07T18:20:00Z,Review:29  BId:7  Tmins:8 PageViews:4
6015301-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
6722621-0,TRUE,2023-03-23T00:29:00Z,Review:1  BId:3  Tmins:5 PageViews:3
7049776-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7056411-0,TRUE,,Review:8  BId:0  Tmins: PageViews:
7116381-0,TRUE,2023-05-03T12:05:00Z,Review:12  BId:0  Tmins:21 PageViews:6
7269635-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7341432-0,TRUE,,Review:35  BId:0  Tmins: PageViews:
7342260-0,TRUE,2023-04-05T10:28:00Z,Review:16  BId:4  Tmins:3 PageViews:2
7410056-0,TRUE,2023-02-14T16:43:00Z,Review:6  BId:0  Tmins:1 PageViews:0
7550227-0,TRUE,2023-03-08T08:40:00Z,Review:1  BId:0  Tmins:3 PageViews:0
7829141-0,TRUE,2023-04-07T07:58:00Z,Review:5  BId:0  Tmins:5 PageViews:2
7832390-0,TRUE,2023-05-15T11:29:00Z,Review:0  BId:1  Tmins:27 PageViews:4
7905987-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7959072-0,TRUE,2023-05-15T14:10:00Z,Review:135  BId:56  Tmins:502 PageViews:239
8039315-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8091178-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8295838-0,TRUE,2023-05-16T09:18:00Z,Review:79  BId:0  Tmins:41 PageViews:29
8300322-0,TRUE,2023-02-22T10:16:00Z,Review:1  BId:0  Tmins:5 PageViews:0
8345144-0,TRUE,2023-05-11T14:15:00Z,Review:50  BId:5  Tmins:223 PageViews:78
8360983-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8547963-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8612344-0,TRUE,2023-05-16T11:45:00Z,Review:88  BId:114  Tmins:12 PageViews:0
8613382-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8616691-0,TRUE,,Review:70  BId:0  Tmins: PageViews:
8625041-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8669743-0,TRUE,2023-04-13T17:04:00Z,Review:2  BId:1  Tmins:24 PageViews:4
8697102-0,TRUE,2023-02-14T11:59:00Z,Review:0  BId:0  Tmins:31 PageViews:0
8703620-0,TRUE,2023-03-16T12:40:00Z,Review:22  BId:23  Tmins:9 PageViews:1
8711442-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
8737725-0,TRUE,2023-05-16T22:14:00Z,Review:24  BId:1  Tmins:63 PageViews:29
8740160-0,TRUE,2023-04-25T18:56:00Z,Review:2  BId:1  Tmins:8 PageViews:4
8773403-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8820251-0,TRUE,2023-04-12T11:33:00Z,Review:25  BId:2  Tmins:9 PageViews:6
8821118-0,TRUE,2023-05-16T14:26:00Z,Review:68  BId:11  Tmins:68 PageViews:46
8840795-0,TRUE,2023-04-26T18:10:00Z,Review:12  BId:7  Tmins:11 PageViews:6
8849602-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8849604-0,TRUE,2023-04-17T16:36:00Z,Review:11  BId:7  Tmins:85 PageViews:35
8850554-0,TRUE,,Review:6  BId:0  Tmins: PageViews:
8850961-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8850969-0,TRUE,2023-05-02T19:55:00Z,Review:32  BId:0  Tmins:9 PageViews:6
8850988-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8852251-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8853585-0,TRUE,2023-01-14T04:00:00Z,Review:0  BId:0  Tmins:6 PageViews:0
8854072-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8855608-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8855958-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8856296-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8856544-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
554044-0,TRUE,2023-04-11T13:29:00Z,Review:65  BId:2  Tmins:73 PageViews:21
621946-0,TRUE,2023-04-20T11:57:00Z,Review:37  BId:10  Tmins:2 PageViews:0
980283-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5262123-0,TRUE,2023-05-16T14:24:00Z,Review:26  BId:38  Tmins:193 PageViews:64
5631963-0,TRUE,2023-05-13T15:05:00Z,Review:61  BId:17  Tmins:190 PageViews:53
6030408-0,TRUE,2023-01-12T10:16:00Z,Review:4  BId:0  Tmins:2 PageViews:2
6609778-0,TRUE,,Review:33  BId:5  Tmins: PageViews:
6926783-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7059446-0,TRUE,2023-04-17T09:15:00Z,Review:24  BId:10  Tmins:74 PageViews:44
7106576-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7386392-0,TRUE,2023-04-27T09:32:00Z,Review:66  BId:9  Tmins:42 PageViews:23
7645151-0,TRUE,2023-01-28T21:27:00Z,Review:1  BId:0  Tmins:1 PageViews:1
8062774-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8321006-0,TRUE,2023-05-16T17:04:00Z,Review:29  BId:1  Tmins:55 PageViews:31
8389589-0,TRUE,,Review:36  BId:0  Tmins: PageViews:
8407614-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8509442-0,TRUE,2023-03-16T18:35:00Z,Review:266  BId:11  Tmins:10 PageViews:5
8521928-0,TRUE,,Review:27  BId:0  Tmins: PageViews:
8566187-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8603375-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8636095-0,TRUE,,Review:2  BId:2  Tmins: PageViews:
8671626-0,TRUE,,Review:8  BId:3  Tmins: PageViews:
8847301-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8854929-0,TRUE,2023-01-30T14:45:00Z,Review:13  BId:0  Tmins:2 PageViews:1
8858713-0,TRUE,2023-01-09T23:36:00Z,Review:2  BId:1  Tmins:3 PageViews:1
8859031-0,TRUE,2023-05-04T09:55:00Z,Review:66  BId:1  Tmins:10 PageViews:2
8859104-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8859432-0,TRUE,2023-05-11T10:14:00Z,Review:10  BId:2  Tmins:28 PageViews:11
8861359-0,TRUE,2023-02-24T23:31:00Z,Review:9  BId:0  Tmins:6 PageViews:1
8861433-0,TRUE,2023-02-21T12:13:00Z,Review:1  BId:0  Tmins:3 PageViews:2
8863374-0,TRUE,,Review:26  BId:6  Tmins: PageViews:
8863778-0,TRUE,2023-05-09T14:11:00Z,Review:18  BId:8  Tmins:215 PageViews:38
10622-0,TRUE,2023-02-15T18:03:00Z,Review:5  BId:0  Tmins:16 PageViews:11
57964-0,TRUE,2023-03-30T08:41:00Z,Review:8  BId:1  Tmins:18 PageViews:14
207954-0,TRUE,2023-05-12T11:04:00Z,Review:35  BId:2  Tmins:83 PageViews:22
472307-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
555129-0,TRUE,2023-03-03T12:56:00Z,Review:3  BId:0  Tmins:1 PageViews:0
593693-0,TRUE,,Review:31  BId:0  Tmins: PageViews:
627298-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
4884537-0,TRUE,2023-05-11T13:39:00Z,Review:83  BId:17  Tmins:158 PageViews:56
5132724-0,TRUE,2023-05-14T23:32:00Z,Review:19  BId:2  Tmins:31 PageViews:13
5595975-0,TRUE,2023-05-09T16:44:00Z,Review:75  BId:15  Tmins:204 PageViews:86
5695900-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
6481814-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7243265-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
7287745-0,TRUE,2023-03-31T14:44:00Z,Review:33  BId:5  Tmins:6 PageViews:2
7637536-0,TRUE,2023-05-10T09:16:00Z,Review:3  BId:0  Tmins:7 PageViews:3
7872369-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8056966-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8083232-0,TRUE,,Review:1  BId:3  Tmins: PageViews:
8215147-0,TRUE,,Review:2  BId:2  Tmins: PageViews:
8409022-0,TRUE,,Review:2  BId:4  Tmins: PageViews:
8414787-0,TRUE,,Review:20  BId:6  Tmins: PageViews:
8567933-0,TRUE,2023-01-22T07:25:00Z,Review:0  BId:0  Tmins:3 PageViews:0
8654444-0,TRUE,2023-03-12T11:50:00Z,Review:34  BId:4  Tmins:52 PageViews:15
8750241-0,TRUE,2023-04-28T13:45:00Z,Review:6  BId:7  Tmins:23 PageViews:16
8792834-0,TRUE,2023-01-15T12:03:00Z,Review:1  BId:0  Tmins:1 PageViews:1
8854746-0,TRUE,2023-02-01T10:24:00Z,Review:8  BId:0  Tmins:16 PageViews:0
8858716-0,TRUE,,Review:67  BId:0  Tmins: PageViews:
8859163-0,TRUE,2023-05-16T11:58:00Z,Review:150  BId:47  Tmins:1031 PageViews:213
8859614-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8861810-0,TRUE,2023-05-16T16:32:00Z,Review:39  BId:97  Tmins:137 PageViews:105
8864101-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8868820-0,TRUE,2023-05-11T13:58:00Z,Review:41  BId:7  Tmins:63 PageViews:39
8868828-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8870610-0,TRUE,2023-04-01T20:22:00Z,Review:6  BId:10  Tmins:3 PageViews:1
8871683-0,TRUE,,Review:4  BId:1  Tmins: PageViews:
8871868-0,TRUE,2023-05-05T21:21:00Z,Review:4  BId:0  Tmins:5 PageViews:0
8872066-0,TRUE,2023-05-05T23:42:00Z,Review:9  BId:1  Tmins:2 PageViews:2
8872068-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8872495-0,TRUE,2023-03-14T10:32:00Z,Review:7  BId:0  Tmins:18 PageViews:4
8873711-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8873746-0,TRUE,,Review:12  BId:2  Tmins: PageViews:
8877018-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
190061-0,TRUE,2023-04-12T07:30:00Z,Review:6  BId:0  Tmins:2 PageViews:1
423332-0,TRUE,2023-04-10T16:36:00Z,Review:33  BId:13  Tmins:108 PageViews:29
2073305-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5298794-0,TRUE,2023-05-08T06:56:00Z,Review:11  BId:2  Tmins:9 PageViews:1
6227122-0,TRUE,,Review:8  BId:5  Tmins: PageViews:
6656117-0,TRUE,2023-05-10T10:45:00Z,Review:36  BId:5  Tmins:91 PageViews:32
7259430-0,TRUE,,Review:8  BId:0  Tmins: PageViews:
7421984-0,TRUE,2023-03-14T16:02:00Z,Review:2  BId:0  Tmins:4 PageViews:3
7652692-0,TRUE,2023-05-16T19:00:00Z,Review:57  BId:123  Tmins:67 PageViews:27
7878531-0,TRUE,2023-03-15T19:00:00Z,Review:3  BId:2  Tmins:10 PageViews:0
8294553-0,TRUE,2023-05-16T08:50:00Z,Review:2  BId:14  Tmins:41 PageViews:25
8609165-0,TRUE,,Review:7  BId:3  Tmins: PageViews:
8618019-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8627582-0,TRUE,2023-04-27T23:45:00Z,Review:29  BId:14  Tmins:36 PageViews:4
8671518-0,TRUE,2023-05-16T00:51:00Z,Review:129  BId:10  Tmins:493 PageViews:317
8840302-0,TRUE,2023-05-14T17:04:00Z,Review:84  BId:26  Tmins:112 PageViews:60
8840819-0,TRUE,2023-05-05T16:41:00Z,Review:16  BId:0  Tmins:182 PageViews:22
8853145-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8877477-0,TRUE,2023-03-23T12:56:00Z,Review:8  BId:59  Tmins:71 PageViews:18
8877736-0,TRUE,,Review:15  BId:0  Tmins: PageViews:
8879508-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8879919-0,TRUE,2023-02-06T18:58:00Z,Review:37  BId:8  Tmins:1 PageViews:1
8880614-0,TRUE,2023-01-23T10:49:00Z,Review:2  BId:0  Tmins:1 PageViews:1
8881125-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8881152-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8884633-0,TRUE,2023-04-06T09:29:00Z,Review:2  BId:1  Tmins:11 PageViews:0
8885162-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
8887286-0,TRUE,,Review:8  BId:1  Tmins: PageViews:
8887719-0,TRUE,2023-05-09T10:51:00Z,Review:13  BId:0  Tmins:11 PageViews:8
8887761-0,TRUE,2023-05-15T16:41:00Z,Review:36  BId:22  Tmins:36 PageViews:7
8888166-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
116904-0,TRUE,2023-05-11T21:24:00Z,Review:3  BId:6  Tmins:14 PageViews:14
121075-0,TRUE,2023-04-27T10:09:00Z,Review:10  BId:5  Tmins:10 PageViews:3
593612-0,TRUE,2023-05-08T16:11:00Z,Review:24  BId:4  Tmins:14 PageViews:8
4608475-0,TRUE,2023-05-09T12:12:00Z,Review:14  BId:3  Tmins:3 PageViews:0
5532617-0,TRUE,2023-05-16T09:48:00Z,Review:84  BId:16  Tmins:55 PageViews:28
6001380-0,TRUE,2023-05-09T08:57:00Z,Review:16  BId:0  Tmins:16 PageViews:0
7830711-0,TRUE,2023-05-11T08:59:00Z,Review:28  BId:2  Tmins:36 PageViews:20
8045727-0,TRUE,2023-01-13T10:44:00Z,Review:12  BId:4  Tmins:13 PageViews:11
8371082-0,TRUE,2023-01-24T14:50:00Z,Review:1  BId:0  Tmins:11 PageViews:0
8413414-0,TRUE,2023-04-14T09:35:00Z,Review:22  BId:2  Tmins:2 PageViews:2
8546795-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8724352-0,TRUE,,Review:10  BId:1  Tmins: PageViews:
8759115-0,TRUE,,Review:9  BId:10  Tmins: PageViews:
8834368-0,TRUE,2023-05-15T16:54:00Z,Review:48  BId:6  Tmins:110 PageViews:20
8880605-0,TRUE,2023-04-07T21:06:00Z,Review:22  BId:0  Tmins:6 PageViews:4
8887707-0,TRUE,2023-03-09T11:50:00Z,Review:8  BId:1  Tmins:9 PageViews:7
8889866-0,TRUE,2023-04-13T13:24:00Z,Review:58  BId:31  Tmins:276 PageViews:135
8890257-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8891709-0,TRUE,,Review:9  BId:1  Tmins: PageViews:
8892002-0,TRUE,2023-05-04T11:18:00Z,Review:79  BId:0  Tmins:31 PageViews:15
8892150-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
8892629-0,TRUE,,Review:3  BId:8  Tmins: PageViews:
8893521-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8893890-0,TRUE,,Review:19  BId:0  Tmins: PageViews:
8911386-0,TRUE,2023-05-16T22:17:00Z,Review:33  BId:25  Tmins:146 PageViews:51
8921408-0,TRUE,2023-03-07T14:30:00Z,Review:12  BId:17  Tmins:7 PageViews:6
5790757-0,TRUE,2023-05-09T15:58:00Z,Review:206  BId:14  Tmins:502 PageViews:229
7049723-0,TRUE,2023-05-15T15:20:00Z,Review:20  BId:4  Tmins:35 PageViews:23
7658012-0,TRUE,2023-04-19T12:55:00Z,Review:15  BId:4  Tmins:12 PageViews:6
8525693-0,TRUE,2023-04-07T18:26:00Z,Review:21  BId:3  Tmins:126 PageViews:38
8617851-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8672622-0,TRUE,,Review:5  BId:0  Tmins: PageViews:
8737096-0,TRUE,,Review:14  BId:11  Tmins: PageViews:
8887706-0,TRUE,2023-05-16T20:03:00Z,Review:204  BId:26  Tmins:153 PageViews:62
8906421-0,TRUE,2023-01-20T16:00:00Z,Review:9  BId:32  Tmins:4 PageViews:0
8906744-0,TRUE,2023-04-25T12:03:00Z,Review:521  BId:154  Tmins:161 PageViews:79
8922171-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
8922547-0,TRUE,2023-02-20T15:31:00Z,Review:4  BId:4  Tmins:10 PageViews:7
8922621-0,TRUE,2023-04-21T19:55:00Z,Review:2  BId:9  Tmins:6 PageViews:3
8922623-0,TRUE,2023-05-11T13:06:00Z,Review:244  BId:21  Tmins:473 PageViews:153
8922626-0,TRUE,2023-03-16T16:38:00Z,Review:24  BId:3  Tmins:5 PageViews:1
8923938-0,TRUE,2023-03-07T10:46:00Z,Review:53  BId:0  Tmins:6 PageViews:2
8924432-0,TRUE,,Review:3  BId:2  Tmins: PageViews:
8924848-0,TRUE,2023-02-18T04:50:00Z,Review:86  BId:8  Tmins:1 PageViews:0
8925195-0,TRUE,2023-02-09T09:58:00Z,Review:0  BId:1  Tmins:5 PageViews:0
8928621-0,TRUE,2023-03-01T15:04:00Z,Review:34  BId:9  Tmins:317 PageViews:60
8928824-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8928909-0,TRUE,2023-02-08T10:48:00Z,Review:17  BId:0  Tmins:19 PageViews:0
8928923-0,TRUE,,Review:9  BId:0  Tmins: PageViews:
8929098-0,TRUE,2023-05-12T00:47:00Z,Review:30  BId:0  Tmins:9 PageViews:4
8929311-0,TRUE,2023-01-04T12:35:00Z,Review:24  BId:12  Tmins:1 PageViews:1
8929551-0,TRUE,2023-01-06T18:00:00Z,Review:3  BId:9  Tmins:16 PageViews:6
8929682-0,TRUE,,Review:15  BId:8  Tmins: PageViews:
8933952-0,TRUE,2023-02-03T04:48:00Z,Review:2  BId:1  Tmins:6 PageViews:2
8934087-0,TRUE,2023-04-14T16:20:00Z,Review:3  BId:3  Tmins:7 PageViews:4
8934860-0,TRUE,2023-02-17T14:22:00Z,Review:5  BId:5  Tmins:14 PageViews:8
8937665-0,TRUE,,Review:4  BId:4  Tmins: PageViews:
8937703-0,TRUE,2023-04-24T14:54:00Z,Review:93  BId:1  Tmins:7 PageViews:2
8937744-0,TRUE,,Review:12  BId:3  Tmins: PageViews:
8938980-0,TRUE,2023-05-01T12:15:00Z,Review:6  BId:7  Tmins:15 PageViews:1
8938982-0,TRUE,,Review:20  BId:9  Tmins: PageViews:
331623-0,TRUE,2023-01-13T12:32:00Z,Review:13  BId:1  Tmins:7 PageViews:2
679610-0,TRUE,2023-03-16T16:55:00Z,Review:22  BId:10  Tmins:14 PageViews:5
1158668-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6713111-0,TRUE,2023-02-22T15:53:00Z,Review:0  BId:0  Tmins:11 PageViews:1
7019769-0,TRUE,2023-05-11T17:13:00Z,Review:39  BId:7  Tmins:206 PageViews:53
7421415-0,TRUE,,Review:35  BId:4  Tmins: PageViews:
7647029-0,TRUE,2023-05-14T16:31:00Z,Review:2  BId:14  Tmins:10 PageViews:8
7799902-0,TRUE,2023-05-05T08:17:00Z,Review:38  BId:5  Tmins:10 PageViews:4
8686781-0,TRUE,2023-03-16T10:41:00Z,Review:3  BId:0  Tmins:13 PageViews:0
8743279-0,TRUE,,Review:7  BId:3  Tmins: PageViews:
8891883-0,TRUE,2023-05-11T18:28:00Z,Review:61  BId:34  Tmins:288 PageViews:153
8934001-0,TRUE,,Review:36  BId:2  Tmins: PageViews:
8940266-0,TRUE,,Review:7  BId:2  Tmins: PageViews:
8941772-0,TRUE,2023-01-11T17:18:00Z,Review:34  BId:3  Tmins:1 PageViews:1
8941971-0,TRUE,,Review:10  BId:1  Tmins: PageViews:
8943537-0,TRUE,2023-03-08T21:26:00Z,Review:8  BId:1  Tmins:2 PageViews:1
8943539-0,TRUE,2023-01-04T11:25:00Z,Review:51  BId:3  Tmins:4 PageViews:2
8943907-0,TRUE,2023-05-16T15:27:00Z,Review:31  BId:8  Tmins:74 PageViews:12
8944238-0,TRUE,2023-01-16T04:20:00Z,Review:22  BId:12  Tmins:8 PageViews:2
8944529-0,TRUE,2023-04-27T10:58:00Z,Review:17  BId:10  Tmins:43 PageViews:19
8945260-0,TRUE,,Review:32  BId:38  Tmins: PageViews:
8945854-0,TRUE,2023-05-01T14:00:00Z,Review:6  BId:2  Tmins:2 PageViews:2
8948230-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
695998-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4223037-0,TRUE,2023-01-02T18:41:00Z,Review:2  BId:0  Tmins:1 PageViews:1
5220874-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
7252790-0,TRUE,2023-04-12T13:30:00Z,Review:7  BId:120  Tmins:52 PageViews:10
7893993-0,TRUE,2023-05-12T08:46:00Z,Review:5  BId:0  Tmins:7 PageViews:1
7916297-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8952138-0,TRUE,2023-01-18T13:26:00Z,Review:18  BId:17  Tmins:5 PageViews:4
8953201-0,TRUE,2023-04-19T15:19:00Z,Review:19  BId:1  Tmins:7 PageViews:0
