Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xBeMIAU,Cancellation,2022-11-01
800Do000000xBhsIAE,Cancellation,2022-11-01
800Do000000xBiBIAU,Cancellation,2022-11-01
800Do000000xBpQIAU,Cancellation,2022-11-01
800Do000000xBpdIAE,Cancellation,2022-11-01
800Do000000xBpmIAE,Cancellation,2022-11-01
800Do000000xBq7IAE,Cancellation,2022-11-01
800Do000000xBtmIAE,Cancellation,2022-11-01
800Do000000xBuHIAU,Cancellation,2022-11-01
800Do000000xC0PIAU,Cancellation,2022-11-01
800Do000000xC0dIAE,Cancellation,2022-11-01
800Do000000xC0rIAE,Cancellation,2022-11-01
800Do000000xC14IAE,Cancellation,2022-11-01
800Do000000xC1CIAU,Cancellation,2022-11-01
800Do000000xC1NIAU,Cancellation,2022-11-01
800Do000000xC3NIAU,Cancellation,2022-11-01
800Do000000xCF4IAM,Cancellation,2022-11-01
800Do000000xCGrIAM,Cancellation,2022-11-01
800Do000000xCRxIAM,Cancellation,2022-11-01
800Do000000xCarIAE,Cancellation,2022-11-01
800Do000000xCayIAE,Cancellation,2022-11-01
800Do000000xCb3IAE,Cancellation,2022-11-01
800Do000000xCb7IAE,Cancellation,2022-11-01
800Do000000xD9eIAE,Cancellation,2022-11-01
800Do000000xDH8IAM,Cancellation,2022-11-01
800Do000000xECxIAM,Cancellation,2022-11-01
800Do000000xEDZIA2,Cancellation,2022-11-01
800Do000000xEZqIAM,Cancellation,2022-11-01
800Do000000xEhlIAE,Cancellation,2022-11-01
800Do000000xEwcIAE,Cancellation,2022-11-01
800Do000000xFDpIAM,Cancellation,2022-11-01
800Do000000xFGZIA2,Cancellation,2022-11-01
800Do000000xFPZIA2,Cancellation,2022-11-01
800Do000000xFQ0IAM,Cancellation,2022-11-01
800Do000000xFSNIA2,Cancellation,2022-11-01
800Do000000xFdeIAE,Cancellation,2022-11-01
800Do000000xFk7IAE,Cancellation,2022-11-01
800Do000000xFlVIAU,Cancellation,2022-11-01
800Do000000xFpjIAE,Cancellation,2022-11-01
800Do000000xG0QIAU,Cancellation,2022-11-01
800Do000000xG0oIAE,Cancellation,2022-11-01
800Do000000xGLPIA2,Cancellation,2022-11-01
800Do000000xGMKIA2,Cancellation,2022-11-01
800Do000000xGTDIA2,Cancellation,2022-11-01
800Do000000xGU3IAM,Cancellation,2022-11-01
800Do000000xGeGIAU,Cancellation,2022-11-01
800Do000000xGetIAE,Cancellation,2022-11-01
800Do000000xHEmIAM,Cancellation,2022-11-01
800Do000000xHL5IAM,Cancellation,2022-11-01
800Do000000xHTeIAM,Cancellation,2022-11-01
800Do000000xHVNIA2,Cancellation,2022-11-01
