Id,StartDate,EndDate,Amendment_Type__c,SBQQ__AmendmentOwner__c,Status,SBQQ__AmendmentStartDate__c,Auto_Close_Cancellation__c,Renewal_Mode__c,Account.Customer_Id__c,Count_of_Blue_Book_Subs__c
800Do000000xHKxIAM,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2110472,8
800Do000000xHL5IAM,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,213425,6
800Do000000xHL9IAM,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2142376,8
800Do000000xHLrIAM,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,225176,6
800Do000000xHM4IAM,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2287345,4
800Do000000xHNdIAM,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00141433,12
800Do000000xHObIAM,2022-10-01,2024-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,355272,26
800Do000000xHPOIA2,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4678591,14
800Do000000xHQBIA2,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5471735,8
800Do000000xHQbIAM,2022-03-01,2024-02-29,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,57964,6
800Do000000xHQiIAM,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5881070,14
800Do000000xHQnIAM,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5981318,12
800Do000000xHR7IAM,2022-04-01,2024-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6227122,10
800Do000000xHRCIA2,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6268148,14
800Do000000xHRRIA2,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6532113,10
800Do000000xHRTIA2,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6568739,4
800Do000000xHRnIAM,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6780962,6
800Do000000xHS5IAM,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7019769,8
800Do000000xHSMIA2,2022-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00144295,5
800Do000000xHSOIA2,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7273226,6
800Do000000xHSRIA2,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7283946,6
800Do000000xHTOIA2,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7897262,8
800Do000000xHTRIA2,2022-08-01,2024-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7916297,6
800Do000000xHTUIA2,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7927121,6
800Do000000xHTeIAM,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8045532,6
800Do000000xHTjIAM,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,814265,6
800Do000000xHTqIAM,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8279138,6
800Do000000xHU6IAM,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8413269,8
800Do000000xHUSIA2,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8576142,4
800Do000000xHUYIA2,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8612484,6
800Do000000xHUpIAM,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8632613,8
800Do000000xHUsIAM,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8637282,6
800Do000000xHUuIAM,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8640498,12
800Do000000xHUwIAM,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8643054,6
800Do000000xHV8IAM,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8695618,6
800Do000000xHVNIA2,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8840797,8
800Do000000xHVQIA2,2022-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8860906,8
800Do000000xHVRIA2,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8861359,8
800Do000000xHVfIAM,2022-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8919643,2
800Do000000xHVpIAM,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8945854,8
800Do000000xHYkIAM,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2916114,6
800Do000000xHaIIAU,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5162752,24
800Do000000xHaQIAU,2022-11-01,2024-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00145056,6
800Do000000xHbDIAU,2022-05-01,2024-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6001380,24
800Do000000xHbFIAU,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6015301,6
800Do000000xHcJIAU,2022-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7032631,4
800Do000000xHciIAE,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7334099,6
800Do000000xHclIAE,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7342260,8
800Do000000xHctIAE,2022-04-01,2024-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7421984,14
800Do000000xHcvIAE,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7426944,8
800Do000000xHdiIAE,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7923282,4
800Do000000xHdqIAE,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7985873,6
800Do000000xHe0IAE,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8042908,4
800Do000000xHe6IAE,2022-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8179304,4
800Do000000xHeTIAU,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8331469,4
800Do000000xHeaIAE,2022-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8416658,3
800Do000000xHepIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8575554,6
800Do000000xHf0IAE,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8618482,4
800Do000000xHfhIAE,2022-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8767217,3
800Do000000xHfjIAE,2022-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00142989,5
800Do000000xHg4IAE,2022-03-01,2024-02-29,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8877018,10
800Do000000xHg7IAE,2022-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8884639,3
800Do000000xHg8IAE,2022-04-01,2024-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8885162,6
800Do000000xHhaIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,111006,16
800Do000000xHhbIAE,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,112080,20
800Do000000xHheIAE,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1158668,4
800Do000000xHinIAE,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,252340,6
800Do000000xHjZIAU,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Terminated,2022-11-01,true,Expire,3420762,10
800Do000000xHjgIAE,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,3691598,6
800Do000000xHjyIAE,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4256532,24
800Do000000xHkAIAU,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4465505,4
800Do000000xHkGIAU,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4592764,20
800Do000000xHkfIAE,2022-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4998033,4
800Do000000xHl1IAE,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5262123,20
800Do000000xHlgIAE,2023-01-01,2024-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00146772,36
800Do000000xHmBIAU,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6036907,6
800Do000000xHmRIAU,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,621946,14
800Do000000xHmqIAE,2022-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,657648,3
800Do000000xHnIIAU,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7049776,6
800Do000000xHnZIAU,2022-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7247409,7
800Do000000xHnaIAE,2022-12-01,2024-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00145665,6
800Do000000xHniIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7347178,6
800Do000000xHnsIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7386218,20
800Do000000xHoFIAU,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7565029,22
800Do000000xHoOIAU,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,773436,8
800Do000000xHomIAE,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7958094,10
800Do000000xHooIAE,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7959072,6
800Do000000xHowIAE,2022-09-01,2024-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,800726,12
800Do000000xHozIAE,2022-05-01,2024-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8045727,10
800Do000000xHp2IAE,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8091178,6
800Do000000xHpHIAU,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8299085,6
800Do000000xHpMIAU,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8360983,8
800Do000000xHpmIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8596965,6
800Do000000xHpnIAE,2022-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8600566,2
800Do000000xHpvIAE,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8617870,8
800Do000000xHq5IAE,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8625903,6
800Do000000xHqAIAU,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8636095,6
800Do000000xHqGIAU,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8649213,6
800Do000000xHqOIAU,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8709678,8
800Do000000xHqVIAU,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8729650,8
800Do000000xHqYIAU,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8740309,6
800Do000000xHqZIAU,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8743279,6
800Do000000xHqbIAE,2022-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8772870,2
800Do000000xHqfIAE,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8821118,10
800Do000000xHqpIAE,2022-03-01,2024-02-29,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8868820,6
800Do000000xHr0IAE,2022-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8923378,2
800Do000000xHr1IAE,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8934001,8
800Do000000xHr2IAE,2022-06-01,2024-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8934087,8
800Do000000xHsDIAU,2022-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1030331,3
800Do000000xHtWIAU,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2429739,4
800Do000000xHtbIAE,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,252205,6
800Do000000xHtiIAE,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2632598,8
800Do000000xHttIAE,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2818626,8
800Do000000xHuEIAU,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,3419291,6
800Do000000xHuGIAU,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,3422359,14
800Do000000xHvQIAU,2023-01-01,2024-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00146719,8
800Do000000xHvbIAE,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4884856,6
800Do000000xHvdIAE,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,4896753,6
800Do000000xHvuIAE,2022-08-01,2024-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5220874,10
800Do000000xHwGIAU,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5525269,8
800Do000000xHwcIAE,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5631963,4
800Do000000xHwjIAE,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5709061,6
800Do000000xHwpIAE,2022-06-01,2024-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,5790757,8
800Do000000xHxBIAU,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6007006,6
800Do000000xHxDIAU,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6030408,10
800Do000000xHxdIAE,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6410934,6
800Do000000xHyKIAU,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,6911858,6
800Do000000xHyVIAU,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7041061,8
800Do000000xHynIAE,2021-11-01,2023-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7280120,10
800Do000000xHyoIAE,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7280155,6
800Do000000xHzNIAU,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,7660515,10
