Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xCcIIAU,Cancellation,11/1/2022
800Do000000xCcPIAU,Cancellation,11/1/2022
800Do000000xEalIAE,Cancellation,11/1/2022
800Do000000xEjVIAU,Cancellation,11/1/2022
800Do000000xEsMIAU,Cancellation,11/1/2022
800Do000000xFGtIAM,Cancellation,11/1/2022
800Do000000xFHrIAM,Cancellation,11/1/2022
800Do000000xFTJIA2,Cancellation,11/1/2022
800Do000000xFv3IAE,Cancellation,11/1/2022
800Do000000xGA6IAM,Cancellation,11/1/2022
800Do000000xGBMIA2,Cancellation,11/1/2022
800Do000000xGHrIAM,Cancellation,11/1/2022
800Do000000xGMOIA2,Cancellation,11/1/2022
800Do000000xGVZIA2,Cancellation,11/1/2022
800Do000000xGVgIAM,Cancellation,11/1/2022
800Do000000xGVhIAM,Cancellation,11/1/2022
800Do000000xGVwIAM,Cancellation,11/1/2022
800Do000000xGf2IAE,Cancellation,11/1/2022
800Do000000xGfAIAU,Cancellation,11/1/2022
800Do000000xGfUIAU,Cancellation,11/1/2022
800Do000000xGo0IAE,Cancellation,11/1/2022
800Do000000xGo2IAE,Cancellation,11/1/2022
800Do000000xGo4IAE,Cancellation,11/1/2022
800Do000000xGo9IAE,Cancellation,11/1/2022
800Do000000xGoUIAU,Cancellation,11/1/2022
800Do000000xHR7IAM,Cancellation,11/1/2022
800Do000000xHctIAE,Cancellation,11/1/2022
800Do000000xHeaIAE,Cancellation,11/1/2022
800Do000000xHfhIAE,Cancellation,11/1/2022
800Do000000xHg7IAE,Cancellation,11/1/2022
800Do000000xHg8IAE,Cancellation,11/1/2022
800Do000000x92MIAQ,Cancellation,11/1/2022
800Do000000x9OXIAY,Cancellation,11/1/2022
800Do000000x9aEIAQ,Cancellation,11/1/2022
800Do000000x9rWIAQ,Cancellation,11/1/2022
800Do000000xA2CIAU,Cancellation,11/1/2022
800Do000000xA2nIAE,Cancellation,11/1/2022
800Do000000xA90IAE,Cancellation,11/1/2022
800Do000000xADwIAM,Cancellation,11/1/2022
800Do000000xATdIAM,Cancellation,11/1/2022
800Do000000xAknIAE,Cancellation,11/1/2022
800Do000000xArDIAU,Cancellation,11/1/2022
800Do000000xAuaIAE,Cancellation,11/1/2022
800Do000000xB5CIAU,Cancellation,11/1/2022
800Do000000xBGWIA2,Cancellation,11/1/2022
800Do000000xBHmIAM,Cancellation,11/1/2022
800Do000000xBRXIA2,Cancellation,11/1/2022
800Do000000xBfAIAU,Cancellation,11/1/2022
800Do000000xBiQIAU,Cancellation,11/1/2022
800Do000000xBq2IAE,Cancellation,11/1/2022
800Do000000xBuMIAU,Cancellation,11/1/2022
800Do000000xBzpIAE,Cancellation,11/1/2022
800Do000000xC0jIAE,Cancellation,11/1/2022
800Do000000xC1aIAE,Cancellation,11/1/2022
800Do000000xC1cIAE,Cancellation,11/1/2022
800Do000000xC5OIAU,Cancellation,11/1/2022
800Do000000xC9iIAE,Cancellation,11/1/2022
800Do000000xC9lIAE,Cancellation,11/1/2022
800Do000000xCA5IAM,Cancellation,11/1/2022
800Do000000xCA9IAM,Cancellation,11/1/2022
800Do000000xCABIA2,Cancellation,11/1/2022
800Do000000xCaoIAE,Cancellation,11/1/2022
800Do000000xCbqIAE,Cancellation,11/1/2022
800Do000000xCbvIAE,Cancellation,11/1/2022
800Do000000xCbwIAE,Cancellation,11/1/2022
800Do000000xCiKIAU,Cancellation,11/1/2022
