Id,QLE_Button__c,ProductCode,Fulfillment_Family__c,Family,SBQQ__SubscriptionPricing__c,Name
01tDo000000UZLVIA4,,DPB,,Print,Fixed Price,Daily Pacific Builder
01tDo000000UZHnIAO,,DR-B,,Print,Fixed Price,Dodge Reports Bundle
01tDo000000UZHbIAO,,DCN-LA,,Print,Fixed Price,Green Sheet Construction Newspaper
01tDo000000UZHDIA4,,DELCHG,,Print,Fixed Price,First Class Mailing
01tDo000000UZPpIAO,,DCN-CH,,Print,Fixed Price,Chicago Construction Newspaper
01tDo000000UZQLIA4,,CN,,Print,Fixed Price,Wal-Mart Custom Newsletter
01tDo000000UZHEIA4,,ODLRP,,Sweets,Fixed Price,BSD Speclink
01tDo000000UZDkIAO,,ENEWSF,,Sweets,Fixed Price,Sweets E-Newsletter
01tDo000000UZw9IAG,,SPECWRF,,Sweets,,Sweets Spec Writing Services
01tDo000000Ua1xIAC,,ENEWSO,,Sweets,,Sweets E-Newsletter - 1X
01tDo000000UaNCIA0,,FPRODO,,Sweets,,Sweets Featured Product Listing - 1X
01tDo000000UZT0IAO,,FPRODF,,Sweets,Fixed Price,Sweets Featured Product Listing
01tDo000000UZrnIAG,,BIMCRF,,Sweets,,Accelerate - BIM Creation
01t3i000000ekURAAY,,PIPEBS,,Data & Analytics,,Supply Track - 1X
01t3i000000eknfAAA,,PLCEBS,,Data & Analytics,,Project Life Cycle - 1X
01t3i000000el4tAAA,,LSI,,Data & Analytics,Fixed Price,Residential Statistics
01tDo000000UZDWIA4,,BSDE-B,,Data & Analytics,Fixed Price,Building Stock Database - Bundle
01tDo000000UZDcIAO,,PLC-C,,Data & Analytics,Fixed Price,PLC - Project Lifecycle - Custom
01tDo000000UZFUIA4,,BSDE-C,,Data & Analytics,Fixed Price,Building Stock Database - Custom
01tDo000000UZHWIA4,,LSI1X9R,,Data & Analytics,Fixed Price,Res Prod Demand Reports 9 Regions 1X
01tDo000000UZJHIA4,,CHR,,Data & Analytics,Fixed Price,Construction Housing Review
01tDo000000UZLcIAO,,MACFDE-C,,Data & Analytics,Fixed Price,MACFD - Market Area Construction Forecast Database - Custom
01tDo000000UZLkIAO,,CASE-C,,Data & Analytics,Fixed Price,Construction Analysis System - Custom
01tDo000000UZLwIAO,,MKTSH-B,,Data & Analytics,Fixed Price,BI - MarketShare - Bundle
01tDo000000UZMqIAO,,NETBOD,,Data & Analytics,Fixed Price,Basis of Design
01tDo000000UZNxIAO,,DCPBE,,Data & Analytics,Fixed Price,Construction Potentials Bulletin
01tDo000000UZP7IAO,,XMLSPSH,,Data & Analytics,Fixed Price,XML SpecShare Feed
01tDo000000UZPFIA4,,DCP-1R,,Data & Analytics,Fixed Price,DCPBE - 1 Region
01tDo000000UZPcIAO,,DCP-FULL,,Data & Analytics,Fixed Price,DCPBE - Full
01tDo000000UZPrIAO,,DPPE-C,,Data & Analytics,Fixed Price,Market Demand Systems - Custom
01tDo000000UZQ5IAO,,DUNS,,Data & Analytics,Fixed Price,D&B Leads
01tDo000000UZQ7IAO,,CASE-B,,Data & Analytics,Fixed Price,Construction Analysis System - Bundle
01tDo000000UZQCIA4,,BLDSHNET-B,,Data & Analytics,Fixed Price,BI - BuildShare - Bundle
01tDo000000UZQIIA4,,AIPLHD,,Data & Analytics,Fixed Price,Planholders
01tDo000000UZQiIAO,,PLCE,,Data & Analytics,Fixed Price,Project Life Cycle
01tDo000000UZRXIA4,,TRAKE-B,,Data & Analytics,Fixed Price,MarketTrack - Bundle
01tDo000000UZRpIAO,,METSTE-B,,Data & Analytics,Fixed Price,MetroInsight - Bundle
01tDo000000UZSmIAO,,NRFS,,Data & Analytics,Fixed Price,Non-Residential Building Simulations
01tDo000000UZTkIAO,,BDSCPCDD,,Data & Analytics,Fixed Price,Custom Data Delivery
01tDo000000UZU8IAO,,AITCST-B,,Data & Analytics,Fixed Price,BI - SpecShare - Bundle
01tDo000000UZVaIAO,,MACFDE-B,,Data & Analytics,Fixed Price,Market Area Forecast Database - Bundle
01tDo000000UZWSIA4,,LOOKE-B,,Data & Analytics,Fixed Price,MarketLook - Bundle
01tDo000000UZXCIA4,,DCP-US,,Data & Analytics,Fixed Price,DCPBE - US
01tDo000000UZXEIA4,,DPPE-B,,Data & Analytics,Fixed Price,Market Demand Systems - Bundle
01tDo000000UZXIIA4,,TLSPAL-B,,Data & Analytics,Fixed Price,BI - SpecAlerts - Bundle
01tDo000000UZY8IAO,,API,,Data & Analytics,Fixed Price,Dodge API
01tDo000000UZYHIA4,,LSI-C,,Data & Analytics,Fixed Price,Residential Product Demand - Custom
01tDo000000UZYYIA4,,DUNSFD,,Data & Analytics,Fixed Price,D&B Leads Feed
01tDo000000UZZIIA4,,MKTSZ-CS,,Data & Analytics,,Custom Set-Up Fee 1x
01tDo000000UZZcIAO,,CASE-BS-B,,Data & Analytics,,Construction Analysis System - 1X Bundle
01tDo000000UZb5IAG,,LOOKEBS-B,,Data & Analytics,,MarketLook - 1X - Bundle
01tDo000000UZcLIAW,,DPQ,,Data & Analytics,Fixed Price,Dodge Product Quantities
01tDo000000UZdNIAW,,DATALIC1X,,Data & Analytics,,Custom Dodge data feed 1X
01tDo000000UZdVIAW,,REFS,,Data & Analytics,,Residential Simulations
01tDo000000UZeGIAW,,LSIUS,,Data & Analytics,,Res Prod Demand Reports US
01tDo000000UZksIAG,,MKTSHBS-B,,Data & Analytics,,MarketShare - 1X Bundle
01tDo000000UZnEIAW,,CUSTANL1X,,Data & Analytics,,Custom Analytics 1X
01tDo000000UZotIAG,,LSI9R,,Data & Analytics,,Res Prod Demand Reports 9 Regions
01tDo000000UZpQIAW,,LSIS,,Data & Analytics,,Res Prod Demand Reports State
01tDo000000UZscIAG,,FCST1X,,Data & Analytics,,Planning & Budgeting Construction Forecast 1X
01tDo000000UZsgIAG,,NBFS,,Data & Analytics,,Non-Building Simulations
01tDo000000UZuNIAW,,BSDE-BS-B,,Data & Analytics,,Building Stock Database - 1X Bundle
01tDo000000UZvyIAG,,PRODAN1X,,Data & Analytics,,Custom Statistical Analytics 1X
01tDo000000UZxBIAW,,AIACC,,Data & Analytics,Fixed Price,ANALYTICS INNOVATION ACCESS
01tDo000000UZyiIAG,,LSI1XS,,Data & Analytics,,Res Prod Demand Reports State 1X
01tDo000000Ua0OIAS,,DPPE-BS-B,,Data & Analytics,,Market Demand Systems - 1X Bundle
01tDo000000Ua1BIAS,,LSI1XC,,Data & Analytics,,Res Prod Demand Reports County 1X
01tDo000000Ua6bIAC,1x,AISPBS-B,,Data & Analytics,,BI - SpecShare - 1X Bundle
01tDo000000Ua7CIAS,,LSIMSA,,Data & Analytics,,Res Prod Demand Reports MSA
01tDo000000Ua9FIAS,,MACFEBS-B,,Data & Analytics,,Market Area Forecast Database - 1X Bundle
01tDo000000Ua9tIAC,,TRAKEBS-B,,Data & Analytics,,MarketTrack - 1X - Bundle
01tDo000000UaA4IAK,,BDSCDS,,Data & Analytics,Fixed Price,Custom Data Services
01tDo000000UaCbIAK,,QSHF,,Data & Analytics,,Quarterly State Housing Forecast
01tDo000000UaDfIAK,,CUSTANL,,Data & Analytics,,Custom Analytics
01tDo000000UaHsIAK,,LSI1XMSA,,Data & Analytics,,Res Prod Demand Reports MSA 1X
01tDo000000UaJfIAK,,PRODAN,,Data & Analytics,,Custom Statistical Analytics
01tDo000000UaK8IAK,,FCST,,Data & Analytics,,Planning & Budgeting Construction Forecast
01tDo000000UaLeIAK,,METSTX-B,,Data & Analytics,,MetroInsight - 1X - Bundle
01tDo000000UaMXIA0,,CHR1,,Data & Analytics,,Construction Housing Review - 1X
01tDo000000UaNHIA0,,LSIC,,Data & Analytics,,Res Prod Demand Reports County
01tDo000000UaRqIAK,,PIPE,,Data & Analytics,Fixed Price,Supply Track
01tDo000000UaSSIA0,,BDSCPQID,,Data & Analytics,Fixed Price,Custom Data Delivery - 1X
01tDo000000UaTJIA0,,LSI1XUS,,Data & Analytics,,Res Prod Demand Reports US 1X
01tDo000000UaTLIA0,,DATALIC,,Data & Analytics,,Custom Dodge data feed
01tDo000000UaTPIA0,,QSHFBS,,Data & Analytics,,Quarterly State Housing Forecast 1x
01tDo000000UZcjIAG,,PRACC,,Flat Rate,Fixed Price,PLANROOM PRO ACCESS
01tDo000000UZrSIAW,,PLRMACC,,Flat Rate,Fixed Price,DODGE PLANROOM ACCESS
01tDo000000UZF2IAO,,AICMFS,,Econ Forecasting,Fixed Price,Construction Market Forecast Dashboard
01tDo000000UaSkIAK,,CMFSEBS,,Econ Forecasting,,Construction Market Forecasting Service - 1X
01tDo000000UZKoIAO,,CCFS,,Econ Forecasting,Fixed Price,Canadian Construction Forecast
01tDo000000UaDXIA0,,CCFSBS,,Econ Forecasting,,Canadian Construction Forecast - 1X
01tDo000000UZdRIAW,,CMFSE,,Econ Forecasting,Fixed Price,Construction Market Forecasting Service
01tDo000000UZSWIA4,,AICCFS,,Econ Forecasting,Fixed Price,Canadian Forecast Dashboard
01tDo000000UZUXIA4,,NETFEED,,Data Services,Fixed Price,Network XML Feed
01tDo000000UZTyIAO,,XMLCUS,,Data Services,Fixed Price,Custom XML Feed
01tDo000000UZJEIA4,,XMLBOTH,,Data Services,Fixed Price,Regular and Custom XML Feed
01tDo000000UZHKIA4,,XMLREG,,Data Services,Fixed Price,Reqular XML Feed
01tDo000000UZY9IAO,,NETDATFD,,Data Services,Fixed Price,Network Express Data Feed
01tDo000000UaNUIA0,,AMNSTY,,Network,Fixed Price,(Debt Relief Amnesty) A/R Amnesty
01tDo000000UZVEIA4,,LEADSCUS,,Network,Fixed Price,Leads Express for Sweets
01tDo000000UZQfIAO,,EXPCPSF,,Network,Fixed Price,Network Express CP for Salesforce
01tDo000000UZPkIAO,,DFSHOST,,Network,Fixed Price,Docupro Hosting
01tDo000000UZLHIA4,,EXPLIC,,Network,Fixed Price,Network Express Licensed Users
01tDo000000UZX3IAO,,EXPCPMS,,Network,Fixed Price,PipeLine for Dynamics
01tDo000000UZVPIA4,,DFSRESELL,,Network,Fixed Price,Docupro Reseller Agreement
01tDo000000UZYRIA4,,2C,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Position
01tDo000000UZU4IAO,,94,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - West
01tDo000000UZYPIA4,BB,9M,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - Custom
01tDo000000UZXKIA4,,9A,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - South Central
01tDo000000UZFRIA4,,9J,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - Southeast
01tDo000000UZFSIA4,,99,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - Northeast
01tDo000000UZX0IAO,,9W,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - West
01tDo000000UZWnIAO,,9Q,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - West
01tDo000000UZFgIAO,,M,Bluebook,Network,Fixed Price,The Blue Book - Manufacturer Listing
01tDo000000UZGaIAO,,96,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - Custom
01tDo000000UZHUIA4,,9E,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - Southeast
01tDo000000UZHYIA4,,9T,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - South Central
01tDo000000UZIHIA4,,92,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - Northeast
01tDo000000UZJNIA4,,9O,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - South Central
01tDo000000UZJkIAO,BB,8C,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Position
01tDo000000UZJlIAO,,B,Bluebook,Network,Fixed Price,The Blue Book - Super Alpha
01tDo000000UZJtIAO,,9I,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - North Central
01tDo000000UZLMIA4,,PP,Bluebook,Network,Fixed Price,The Blue Book - Premium ProView
01tDo000000UZLhIAO,BB,9L,Bluebook,Network,Fixed Price,The Blue Book Business Builder - BidScope Plus
01tDo000000UZLiIAO,,1P,Bluebook,Network,Fixed Price,The Blue Book - Regional Ad
01tDo000000UZM0IAO,,93,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - South Central
01tDo000000UZMKIA4,,9V,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - National
01tDo000000UZNHIA4,,90,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - North Central
01tDo000000UZWiIAO,,9C,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - North Central
01tDo000000UZNjIAO,,98,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - Southeast
01tDo000000UZNkIAO,,9H,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - Custom
01tDo000000UZOqIAO,,9D,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - West
01tDo000000UZWhIAO,,BP,Bluebook,Network,Fixed Price,The Blue Book - BidScope DDA
01tDo000000UZPiIAO,,97,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - North Central
01tDo000000UZPnIAO,,9R,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - National
01tDo000000UZWQIA4,,91,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - Southeast
01tDo000000UZQHIA4,,4C,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Position
01tDo000000UZQMIA4,,9N,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Bronze Zone - Northeast
01tDo000000UZUrIAO,,9U,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - Custom
01tDo000000UZSKIA4,,9K,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Silver Zone - Northeast
01tDo000000UZSNIA4,,1C,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Position
01tDo000000UZSRIA4,,C,Bluebook,Network,Fixed Price,The Blue Book - Alpha Listing
01tDo000000UZUeIAO,,9F,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Gold Zone - National
01tDo000000UZT2IAO,,BR,Bluebook,Network,Fixed Price,The Blue Book - Regional BidScope DDA
01tDo000000UZUdIAO,,95,Bluebook,Network,Fixed Price,The Blue Book Business Builder - Platinum Zone - National
01t3i000000eiwYAAQ,,EMLF,Horizon,Sweets,Fixed Price,Sweets
01tDI000000AldPYAS,,SPLYTRK-B,Horizon,Data & Analytics,Fixed Price,Real Estate Analyzer Bundle
01tDo000000UZSaIAO,,DCC-NETNEW,Horizon,Network,Fixed Price,DCC News Only Wrapper
01tDo000000UZTwIAO,,DCC-NETFPNP,Horizon,Network,Fixed Price,DCC Final Planning and Plans Wrapper
01tDo000000UZQUIA4,,DCC-NETNP,Horizon,Network,Fixed Price,DCC News and Plans Wrapper
01tDo000000UZQ0IAO,,PIPE-NETFPNP,Horizon,Network,Fixed Price,Pipeline Final Planning and Plans Wrapper
01tDo000000UZPgIAO,,LEADSEXP,Horizon,Network,Fixed Price,Leads Express for Sweets
01tDo000000UZNgIAO,,DCC2-NETNP,Horizon,Network,Fixed Price,DCC 2.0 News and Plans Wrapper
01tDo000000UZFaIAO,,DCC2-NETFPNP,Horizon,Network,Fixed Price,DCC 2.0 Final Planning and Plans Wrapper
01tDo000000UZFZIA4,,DGN-NETNP,Horizon,Network,Fixed Price,DGN News and Plans Wrapper
01tDo000000UZUfIAO,,DGN-NETNEW,Horizon,Network,Fixed Price,DGN News Only Wrapper
01tDo000000UZXGIA4,,DGN-NETFPNP,Horizon,Network,Fixed Price,DGN Final Planning and Plans Wrapper
01tDo000000UZEzIAO,,PRPLRM,Horizon,Network,Fixed Price,PlanRoom Pro
01tDo000000UZYJIA4,,PIPE-NETNP,Horizon,Network,Fixed Price,Pipeline News and Plans Wrapper
01tDo000000UZEoIAO,,UNLLEAD,Horizon,Network,Fixed Price,Sweets Media Leads
01tDo000000UZYxIAO,,PIPE-NETNEW,Horizon,Network,Fixed Price,Pipeline News Only Wrapper
01tDo000000UZYsIAO,,PLRM,Horizon,Network,Fixed Price,PlanRoom
01tDo000000UZXFIA4,,IMS-BUNDLE,Client Portal,IMS,Fixed Price,IMS Bundle Wrapper
