Id,SBQQ__Contract__r.ContractNumber,Is_Subscription_Valid_Text__c,SBQQ__Product__r.Name
a6SDo000000kCGkMAM,7020549,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBiEMAU,7020550,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGnMAM,7020550,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBZCMA2,7020551,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGpMAM,7020551,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBmHMAU,7020552,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGqMAM,7020552,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBgjMAE,7020553,001-Component:missing Required by or Required by Product<br>,IMS Private Projects
a6SDo000000kBiFMAU,7020553,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGrMAM,7020553,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBmIMAU,7020554,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGtMAM,7020554,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBiHMAU,7020555,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCGyMAM,7020555,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBZFMA2,7020556,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCH0MAM,7020556,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBmKMAU,7020557,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCH1MAM,7020557,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBmMMAU,7020558,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCH9MAM,7020558,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBiLMAU,7020559,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCHEMA2,7020559,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBgqMAE,7020560,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCHJMA2,7020560,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBZKMA2,7020561,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCHKMA2,7020561,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBiOMAU,7020562,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kCHPMA2,7020562,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBZNMA2,7020563,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
