Name,External_ID__c,SBQQ__Category__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfiguredSKU__r.External_ID__c,SBQQ__DiscountSchedule__r.External_Id__c,SBQQ__DynamicProductFilterFieldSet__c,SBQQ__DynamicProductLookupFieldSet__c,SBQQ__MaxOptionCount__c,SBQQ__MinOptionCount__c,SBQQ__Number__c,SBQQ__OptionSelectionMethod__c
National,,DCC Plan,,EX-0010718,,,,,0,14,
National,,,,EX-0011094,,,,,0,10,
Platform Product,,,,EX-0011104,,,,,1,5,
HE,,,,EX-0010288,,,,,0,60,
County,,County,,EX-0010201,,,,,0,100,Dynamic
Metro,,Metro,,EX-0010612,,,,,0,40,
National,,,,EX-0010980,,,,,0,10,
Census Division,,DCC Plan,,EX-0010977,,,,,0,36,
Custom Legacy Packages,,Legacy Packages,,EX-0010908,,,,,0,210,
Custom Legacy Packages,,Legacy Packages,,EX-0010953,,,,,0,110,
State,,State,,EX-0010953,,,,,0,50,
State,,,,EX-0010124,,,,,0,20,
State,,State,,EX-0010202,,,,,0,10,
National,,DCC Plan,,EX-0010512,,,,,0,14,
Platform Product,,,,EX-0010780,,,,,1,5,
Supply Track Options,,,,,,,,,1,1,
County FPP,a643J0000000vVaQAI,County,,EX-0010772,,ConfiguratorFilter,ConfiguratorLookup,,0,200,Dynamic
Metro,a643J0000000vVjQAI,Metro,,EX-0010772,,,,,0,40,
Seats,a643J0000000vVtQAI,DCC Plan,,EX-0010772,,,,1,1,27,
Census Division,a643J0000000vVyQAI,DCC Plan,,EX-0010772,,,,,0,36,
State,a643J0000000vVZQAY,State,,EX-0010772,,,,,0,10,
National,a643J0000000vW3QAI,DCC Plan,,EX-0010772,,,,,0,14,
User Interface Selction,a643J0000000vXaQAI,DCC Plan,,EX-0010772,,,,1,1,1,
