Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000005B0haAAC,161075,,,,161075,161075-0,,0
0013i000005B0hxAAC,8549278,,,,8549278,8549278-0,,0
0013i000005B0i5AAC,3292663,,,,3292663,3292663-0,,0
0013i000005B3uyAAC,3314551,,,,3314551,3314551-0,D10149722,0
0013i000005B3vTAAS,248142,,,,248142,248142-0,,0
0013i000005B3vlAAC,132062,,,,132062,132062-0,,0
0013i000005B3w1AAC,6204891,,,,6204891,6204891-0,,0
0013i000005B3w7AAC,924132,,,,924132,924132-0,,0
0013i000005B3wFAAS,799837,,,,799837,799837-0,,0
0013i000005B3wTAAS,4301144,,,,4301144,4301144-0,,0
0013i000005B3wVAAS,4487348,,,,4487348,4487348-0,,0
0013i000005B3wdAAC,5178985,,,,5178985,5178985-0,,0
0013i000005B3wfAAC,973960,,,,973960,973960-0,,0
0013i000005B3whAAC,691461,,,,691461,691461-0,,0
0013i000005B3wjAAC,702122,,,,702122,702122-0,,0
0013i000005B3wmAAC,7225502,,,,7225502,7225502-0,,0
0013i000005B3woAAC,6932460,,,,6932460,6932460-0,,0
0013i000005B3wsAAC,4893612,,,,4893612,4893612-0,,0
0013i000005B3wvAAC,539709,,,,539709,539709-0,,0
0013i000005B3wwAAC,828719,,,,828719,828719-0,,0
0013i000005B3wyAAC,511103,,,,511103,511103-0,,0
0013i000005B3x2AAC,8311053,,,,8311053,8311053-0,,0
0013i000005B3xPAAS,6484059,,,,6484059,6484059-0,,0
0013i000005B3xfAAC,6936640,,,,6936640,6936640-0,,0
0013i000005B3xmAAC,1214688,,,,1214688,1214688-0,,0
0013i000005B3xpAAC,1383202,,,,1383202,1383202-0,,0
0013i000005B3xzAAC,4965199,,,,4965199,4965199-0,,0
0013i000005B3y1AAC,7595266,,,,7595266,7595266-0,,0
0013i000005B3yUAAS,4800329,,,,4800329,4800329-0,,0
