Id,Sprint__c,Effort__c
a8rDo000000wo5KIAQ,Backlog,
a8rDo000000wo5PIAQ,Backlog,
a8rDo000000wo5UIAQ,Backlog,
a8rDo000000wo5ZIAQ,Backlog,
a8rDo000000wo5eIAA,Backlog,
a8rDo000000wo5jIAA,Backlog,
a8rDo000000wo5oIAA,Backlog,
a8rDo000000wo5tIAA,Backlog,
a8rDo000000wo5yIAA,Backlog,
a8rDo000000wo63IAA,Backlog,
a8rDo000000wo68IAA,Backlog,
a8rDo000000wo6DIAQ,Backlog,
a8rDo000000wo6IIAQ,Backlog,
a8rDo000000wo6NIAQ,Backlog,
a8rDo000000wo6SIAQ,Backlog,
a8rDo000000wo6XIAQ,Backlog,
a8rDo000000wo6cIAA,Backlog,
a8rDo000000wo6hIAA,Backlog,
a8rDo000000wo6mIAA,Backlog,
a8rDo000000wo6rIAA,Backlog,
a8rDo000000wo6wIAA,Backlog,
a8rDo000000wo71IAA,Backlog,
a8rDo000000wo76IAA,Backlog,
a8rDo000000wo7BIAQ,Backlog,
a8rDo000000wo7GIAQ,Backlog,
a8rDo000000wo7LIAQ,Backlog,
a8rDo000000wo7QIAQ,Backlog,
a8rDo000000wo7VIAQ,Backlog,
a8rDo000000wo7aIAA,Backlog,
a8rDo000000wo7fIAA,Backlog,
a8rDo000000wo7kIAA,Backlog,
a8rDo000000wo7pIAA,Backlog,
a8rDo000000wo7uIAA,Backlog,
a8rDo000000wo7zIAA,Backlog,
a8rDo000000wo84IAA,Backlog,
a8rDo000000wo89IAA,Backlog,
a8rDo000000wo8EIAQ,Backlog,
a8rDo000000wo8JIAQ,Backlog,
a8rDo000000wo8OIAQ,Backlog,
a8rDo000000wo8TIAQ,Backlog,
a8rDo000000wo8YIAQ,Backlog,
a8rDo000000wo8dIAA,Backlog,
a8rDo000000wo8iIAA,Backlog,
a8rDo000000wo8nIAA,Backlog,
a8rDo000000wo8sIAA,Backlog,
a8rDo000000wo8xIAA,Backlog,
a8rDo000000wo92IAA,Backlog,
a8rDo000000wo97IAA,Backlog,
a8rDo000000wo9CIAQ,Backlog,
a8rDo000000wo9HIAQ,Backlog,
a8rDo000000wo9MIAQ,Backlog,
a8rDo000000wo9RIAQ,Backlog,
a8rDo000000wo9WIAQ,Backlog,
a8rDo000000wo9bIAA,Backlog,
a8rDo000000wo9gIAA,Backlog,
a8rDo000000wo9hIAA,Backlog,
a8rDo000000wo9iIAA,Backlog,
a8rDo000000wo9lIAA,Backlog,
a8rDo000000wo9qIAA,Backlog,
a8rDo000000wo9vIAA,Backlog,
a8rDo000000woA0IAI,Backlog,
a8rDo000000woA5IAI,Backlog,
a8rDo000000woAAIAY,Backlog,
a8rDo000000woAFIAY,Backlog,
a8rDo000000woAKIAY,Backlog,
a8rDo000000woAPIAY,Backlog,
a8rDo000000woAUIAY,Backlog,
a8rDo000000woAZIAY,Backlog,
a8rDo000000woAeIAI,Backlog,
a8rDo000000woAjIAI,Backlog,
a8rDo000000woAoIAI,Backlog,
a8rDo000000woAtIAI,Backlog,
a8rDo000000woAyIAI,Backlog,
a8rDo000000woB3IAI,Backlog,
a8rDo000000woB8IAI,Backlog,
a8rDo000000woBDIAY,Backlog,
a8rDo000000woBIIAY,Backlog,
a8rDo000000woBNIAY,Backlog,
a8rDo000000woBSIAY,Backlog,
a8rDo000000woBXIAY,Backlog,
a8rDo000000woBcIAI,Backlog,
a8rDo000000woBhIAI,Backlog,
a8rDo000000woBmIAI,Backlog,
a8rDo000000woBrIAI,Backlog,
a8rDo000000woBwIAI,Backlog,
a8rDo000000woC1IAI,Backlog,
a8rDo000000woC6IAI,Backlog,
a8rDo000000woCBIAY,Backlog,
a8rDo000000woCGIAY,Backlog,
a8rDo000000woCLIAY,Backlog,
a8rDo000000woCQIAY,Backlog,
a8rDo000000woCVIAY,Backlog,
a8rDo000000woCaIAI,Backlog,
a8rDo000000woCfIAI,Backlog,
a8rDo000000woCkIAI,Backlog,
a8rDo000000woCpIAI,Backlog,
a8rDo000000woCuIAI,Backlog,
a8rDo000000woCzIAI,Backlog,
a8rDo000000woD4IAI,Backlog,Medium
a8rDo000000woD9IAI,Backlog,
a8rDo000000woDEIAY,Backlog,
a8rDo000000woDJIAY,Backlog,
a8rDo000000woDOIAY,Backlog,
a8rDo000000woDTIAY,Backlog,
a8rDo000000woDPIAY,Backlog,
a8rDo000000woDYIAY,Backlog,
a8rDo000000woDdIAI,Backlog,
a8rDo000000woDiIAI,Backlog,
a8rDo000000woDnIAI,Backlog,
a8rDo000000woDsIAI,Backlog,
a8rDo000000woDxIAI,Backlog,
a8rDo000000woE2IAI,Backlog,
a8rDo000000woE7IAI,Backlog,
a8rDo000000woECIAY,Backlog,
a8rDo000000woEHIAY,Backlog,
a8rDo000000woEDIAY,Backlog,
a8rDo000000woEMIAY,Backlog,
a8rDo000000woERIAY,Backlog,
a8rDo000000woEWIAY,Backlog,
a8rDo000000woEbIAI,Backlog,
a8rDo000000woEgIAI,Backlog,
a8rDo000000woElIAI,Backlog,
a8rDo000000woEqIAI,Backlog,
a8rDo000000woEvIAI,Backlog,
a8rDo000000woF0IAI,Backlog,
a8rDo000000woF5IAI,Backlog,
a8rDo000000woFAIAY,Backlog,
a8rDo000000woFFIAY,Backlog,
a8rDo000000woFKIAY,Backlog,
a8rDo000000woFPIAY,Backlog,
a8rDo000000woFUIAY,Backlog,
a8rDo000000woFZIAY,Backlog,
a8rDo000000woFeIAI,Backlog,
a8rDo000000woFjIAI,Backlog,
a8rDo000000woFoIAI,Backlog,
a8rDo000000woFtIAI,Backlog,
a8rDo000000woFyIAI,Backlog,
a8rDo000000woG3IAI,Backlog,
a8rDo000000woG8IAI,Backlog,
a8rDo000000woGDIAY,Backlog,
a8rDo000000woGIIAY,Backlog,
a8rDo000000woGNIAY,Backlog,
a8rDo000000woGSIAY,Backlog,
a8rDo000000woGTIAY,Backlog,
a8rDo000000woGXIAY,Backlog,
a8rDo000000woGcIAI,Backlog,
a8rDo000000woGhIAI,Backlog,
a8rDo000000woGmIAI,Backlog,
a8rDo000000woGrIAI,Backlog,
a8rDo000000woGwIAI,Backlog,
a8rDo000000woH1IAI,Backlog,
a8rDo000000woH6IAI,Backlog,
a8rDo000000woHBIAY,Backlog,
a8rDo000000woHGIAY,Backlog,
a8rDo000000woHLIAY,Backlog,
a8rDo000000woHQIAY,Backlog,
a8rDo000000woHVIAY,Backlog,
a8rDo000000woHaIAI,Backlog,
a8rDo000000woHfIAI,Backlog,
a8rDo000000woHkIAI,Backlog,
a8rDo000000woHpIAI,Backlog,
a8rDo000000woHuIAI,Backlog,
a8rDo000000woHzIAI,Backlog,
a8rDo000000woI4IAI,Backlog,
a8rDo000000woI9IAI,Backlog,
a8rDo000000woIEIAY,Backlog,
a8rDo000000woIJIAY,Backlog,
a8rDo000000woIOIAY,Backlog,
a8rDo000000woITIAY,Backlog,
a8rDo000000woIYIAY,Backlog,
a8rDo000000woIdIAI,Backlog,
a8rDo000000woIiIAI,Backlog,
a8rDo000000woInIAI,Backlog,
a8rDo000000woIsIAI,Backlog,Medium
a8rDo000000woIxIAI,Backlog,
a8rDo000000woJ2IAI,Backlog,
a8rDo000000woJ7IAI,Backlog,
a8rDo000000woJCIAY,Backlog,
a8rDo000000woJHIAY,Backlog,
a8rDo000000woJMIAY,Backlog,
a8rDo000000woJIIAY,Backlog,
a8rDo000000woJRIAY,Backlog,
a8rDo000000woJWIAY,Backlog,
a8rDo000000woJbIAI,Backlog,
a8rDo000000woJgIAI,Backlog,
a8rDo000000woJlIAI,Backlog,
a8rDo000000woJqIAI,Backlog,
a8rDo000000woJvIAI,Backlog,Medium
a8rDo000000woK0IAI,Backlog,
a8rDo000000woK5IAI,Backlog,
