Id,Amendment_Type__c,Auto_Close_Cancellation__c,SBQQ__AmendmentOwner__c
800Do000000xGVBIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHqpIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVHIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbqIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVKIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCA5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbvIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVOIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbwIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGnnIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCA9IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHg4IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xZPRIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHl1IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA29IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHwcIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHxDIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHmRIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFEEIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xF5PIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAkhIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFPwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFI9IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFkdIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xB6bIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBRMIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG7TIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBcmIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBcvIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGHiIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC4pIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC5iIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBnnIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHqAIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCQ5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGMVIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfXIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9cIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9eIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9hIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfiIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHVRIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbYIAU,Cancellation,TRUE,0053i000002SxjyAAC
