Id,breadwinner_ns__TranDate__c
a9TDI000000DAB92AO,2022-09-01
a9TDI000000D9Hv2AK,2022-09-01
a9TDI000000DABp2AO,2022-09-01
a9TDI000000DAtM2AW,2022-09-01
a9TDI000000DA2b2AG,2022-09-01
a9TDI000000DAAG2A4,2022-09-01
a9TDI000000DAtd2AG,2022-09-01
a9TDI000000D9Ii2AK,2022-09-01
a9TDI000000D9In2AK,2022-09-01
a9TDI000000D9Vw2AK,2022-09-01
a9TDI000000D9Vy2AK,2022-09-01
a9TDI000000D9fb2AC,2022-09-01
a9TDI000000D9AT2A0,2022-09-01
a9TDI000000D9Ve2AK,2022-09-01
a9TDI000000D9Vm2AK,2022-09-01
a9TDI000000D9Vn2AK,2022-09-01
a9TDI000000D98X2AS,2022-09-01
a9TDI000000D98Y2AS,2022-09-01
a9TDI000000D98d2AC,2022-09-01
a9TDI000000D9Vr2AK,2022-09-01
a9TDI000000D9Ya2AK,2022-09-01
a9TDI000000D9Yb2AK,2022-09-01
a9TDI000000DBjW2AW,2022-09-01
a9TDI000000DB602AG,2022-09-01
a9TDI000000DBK22AO,2022-09-01
a9TDI000000D9tu2AC,2022-09-01
a9TDI000000DBKK2A4,2022-09-01
a9TDI000000D9tz2AC,2022-09-01
a9TDI000000DBSC2A4,2022-09-01
a9TDI000000DBm22AG,2022-09-01
a9TDI000000DBSG2A4,2022-09-01
a9TDI000000DB2y2AG,2022-09-01
a9TDI000000DACG2A4,2022-09-01
a9TDI000000DBrn2AG,2022-09-01
a9TDI000000D9bM2AS,2022-09-01
a9TDI000000D9bQ2AS,2022-09-01
a9TDI000000D8wF2AS,2022-09-01
a9TDI000000D9Lp2AK,2022-09-01
a9TDI000000D8vt2AC,2022-09-01
a9TDI000000D9I82AK,2022-09-01
a9TDI000000D9kN2AS,2022-09-01
a9TDI000000D9Lb2AK,2022-09-01
a9TDI000000D8w22AC,2022-09-01
a9TDI000000DA0d2AG,2022-09-01
a9TDI000000DA0e2AG,2022-09-01
a9TDI000000DA0p2AG,2022-09-01
a9TDI000000D9Qf2AK,2022-09-01
a9TDI000000D9LB2A0,2022-09-01
a9TDI000000DBQB2A4,2022-09-01
a9TDI000000DBQC2A4,2022-09-01
a9TDI000000DBQD2A4,2022-09-01
a9TDI000000DDBy2AO,2022-09-01
a9TDI000000DAi42AG,2022-09-01
a9TDI000000DD5E2AW,2022-09-01
a9TDI000000DAye2AG,2022-09-01
a9TDI000000DAyj2AG,2022-09-01
a9TDI000000DEWF2A4,2022-09-01
a9TDI000000DEKk2AO,2022-09-01
a9TDI000000DAjW2AW,2022-09-01
a9TDI000000DEWT2A4,2022-09-01
a9TDI000000DBF52AO,2022-09-01
a9TDI000000DENy2AO,2022-09-01
a9TDI000000DDKk2AO,2022-09-01
a9TDI000000DEO12AO,2022-09-01
a9TDI000000DEO42AO,2022-09-01
a9TDI000000DBFL2A4,2022-09-01
a9TDI000000DBFQ2A4,2022-09-01
a9TDI000000DEOE2A4,2022-09-01
a9TDI000000DDKq2AO,2022-09-01
a9TDI000000DD5b2AG,2022-09-01
a9TDI000000DBFV2A4,2022-09-01
a9TDI000000DAU92AO,2022-09-01
a9TDI000000DAUB2A4,2022-09-01
a9TDI000000DD0N2AW,2022-09-01
a9TDI000000DCo22AG,2022-09-01
a9TDI000000DAUM2A4,2022-09-01
a9TDI000000DCu62AG,2022-09-01
a9TDI000000DBri2AG,2022-09-01
a9TDI000000DAGX2A4,2022-09-01
a9TDI000000DCyu2AG,2022-09-01
a9TDI000000DEVn2AO,2022-09-01
a9TDI000000DChU2AW,2022-09-01
a9TDI000000DChY2AW,2022-09-01
a9TDI000000DChc2AG,2022-09-01
a9TDI000000DBIt2AO,2022-09-01
a9TDI000000DD0s2AG,2022-09-01
a9TDI000000DBg92AG,2022-09-01
a9TDI000000D9wc2AC,2022-09-01
a9TDI000000DB5r2AG,2022-09-01
a9TDI000000D9jC2AS,2022-09-01
a9TDI000000D9jK2AS,2022-09-01
a9TDI000000D9i22AC,2022-09-01
a9TDI000000D9sI2AS,2022-09-01
a9TDI000000D9sL2AS,2022-09-01
a9TDI000000D9qU2AS,2022-09-01
a9TDI000000D9qa2AC,2022-09-01
a9TDI000000D9qy2AC,2022-09-01
a9TDI000000D9rE2AS,2022-09-01
a9TDI000000DAb82AG,2022-09-01
a9TDI000000DA0L2AW,2022-09-01
a9TDI000000DB4y2AG,2022-09-01
a9TDI000000DB5L2AW,2022-09-01
a9TDI000000D9ox2AC,2022-09-01
a9TDI000000DBGY2A4,2022-09-01
a9TDI000000DBGy2AO,2022-09-01
a9TDI000000D9th2AC,2022-09-01
a9TDI000000DArI2AW,2022-09-01
a9TDI000000DBHX2A4,2022-09-01
a9TDI000000DBHZ2A4,2022-09-01
a9TDI000000DBHb2AO,2022-09-01
a9TDI000000DBHw2AO,2022-09-01
a9TDI000000DBHU2A4,2022-09-01
a9TDI000000DETt2AO,2022-09-01
a9TDI000000DEPO2A4,2022-09-01
a9TDI000000DERs2AO,2022-09-01
a9TDI000000DERt2AO,2022-09-01
a9TDI000000DEPm2AO,2022-09-01
a9TDI000000DDIm2AO,2022-09-01
a9TDI000000DCCW2A4,2022-09-01
a9TDI000000DESi2AO,2022-09-01
a9TDI000000DB9I2AW,2022-09-01
a9TDI000000DDG62AO,2022-09-01
a9TDI000000DESm2AO,2022-09-01
a9TDI000000DESt2AO,2022-09-01
a9TDI000000DESy2AO,2022-09-01
a9TDI000000DESz2AO,2022-09-01
a9TDI000000DET12AO,2022-09-01
a9TDI000000DET42AO,2022-09-01
a9TDI000000DCpG2AW,2022-09-01
a9TDI000000DBkZ2AW,2022-09-01
a9TDI000000DBkg2AG,2022-09-01
a9TDI000000DAY12AO,2022-09-01
a9TDI000000DAY22AO,2022-09-01
a9TDI000000DAY62AO,2022-09-01
a9TDI000000DCpQ2AW,2022-09-01
a9TDI000000DET92AO,2022-09-01
a9TDI000000DAH42AO,2022-09-01
a9TDI000000DBky2AG,2022-09-01
a9TDI000000DANy2AO,2022-09-01
a9TDI000000DD9R2AW,2022-09-01
a9TDI000000DAYS2A4,2022-09-01
a9TDI000000DByX2AW,2022-09-01
a9TDI000000DCvY2AW,2022-09-01
a9TDI000000DCva2AG,2022-09-01
a9TDI000000DCvw2AG,2022-09-01
a9TDI000000DCvx2AG,2022-09-01
a9TDI000000DCjR2AW,2022-09-01
a9TDI000000DCr22AG,2022-09-01
a9TDI000000DCvy2AG,2022-09-01
a9TDI000000DCbL2AW,2022-09-01
a9TDI000000DChr2AG,2022-09-01
a9TDI000000DChs2AG,2022-09-01
a9TDI000000DBX42AO,2022-09-01
a9TDI000000DCv12AG,2022-09-01
a9TDI000000DD8U2AW,2022-09-01
a9TDI000000DAhI2AW,2022-09-01
a9TDI000000DBAD2A4,2022-09-01
a9TDI000000DBQE2A4,2022-09-01
a9TDI000000DBQX2A4,2022-09-01
a9TDI000000DAha2AG,2022-09-01
a9TDI000000DB972AG,2022-09-01
a9TDI000000DCaB2AW,2022-09-01
a9TDI000000DByV2AW,2022-09-01
a9TDI000000DBZq2AO,2022-09-01
a9TDI000000DCf32AG,2022-09-01
a9TDI000000DCf82AG,2022-09-01
a9TDI000000DCf92AG,2022-09-01
a9TDI000000DCfS2AW,2022-09-01
a9TDI000000DBou2AG,2022-09-01
a9TDI000000DAlg2AG,2022-09-01
a9TDI000000DBVx2AO,2022-09-01
a9TDI000000DBVy2AO,2022-09-01
a9TDI000000DBbw2AG,2022-09-01
a9TDI000000DBbx2AG,2022-09-01
a9TDI000000DBbz2AG,2022-09-01
a9TDI000000DBpK2AW,2022-09-01
a9TDI000000D8RQ2A0,2022-09-01
a9TDI000000D8J52AK,2022-09-01
