External_Id__c,Name,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
EX-0000030,Desegment Line,true,false,desegmentBtn,All,false,,995,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,,Quote Line Editor,,,Button,,
EX-0000031,Resegment Line,true,false,resegmentBtn,All,false,,996,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,,Quote Line Editor,,,Button,,
EX-0000032,View Discount Schedule,true,false,viewDSBtn,All,false,,997,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,,Quote Line Editor,,,Button,,
EX-0000033,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,,998,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,,Quote Line Editor,,,Button,,
EX-0000034,Launch External,true,false,,All,false,,900,,,,Launch External,Configurator,,Product Configurator,,,Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
EX-0000035,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,,901,onAmendSubscriptions,,,Amend Subscriptions,Quote/Group,,Quote Line Editor,,,Button,,
EX-0000036,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,,999,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,,Quote Line Editor,,,Button,,
EX-0000037,Apply Edit Rules,true,false,,All,false,,901,,,,Apply Rules,Configurator,,Product Configurator,,,Button,,
EX-0000038,Add Recommendations,false,false,addRecommendedProductsBtn,All,false,,920,onAddRecommendedProducts,,,Add Recommendations,Quote/Group,,Quote Line Editor,,,Button,,
EX-20230412.01,Add DCC,false,false,addProductsBtn,All,false,,850,onAddProducts,,,Add DCC,Quote/Group,,Quote Line Editor,,,Menu,,
EX-20230412.02,Add BB,false,false,addProductsBtn,All,false,,850,onAddProducts,,,Add BB,Quote/Group,,Quote Line Editor,,,Menu,,
